id,prompt,answer,generated_cot,label,assistant_style,source_selection_tier
d46df3b0,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
42(21 = 881
96$83 = 9683
38(69 = 2621
15(42 = 629
Now, determine the result for: 86(46",3955,"<think>op=""(""; query=86(46; lhs=86; rhs=46; rule=x_mul_y_minus1; rule_text=x mul y minus1; support=same_operator_examples_3; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
04322d27,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
96$54 = 5184
50$41 = 2050
51$95 = 4845
89$47 = 4183
Now, determine the result for: 59$49",2891,"<think>op=""$""; query=59$49; lhs=59; rhs=49; rule=x_mul_y; rule_text=x mul y; support=same_operator_examples_4; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
b655eee9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
16-71 = -44
47-64 = -82
37+79 = 171
Now, determine the result for: 76-83",-92,"<think>op=""-""; query=76-83; lhs=76; rhs=83; rule=comp99_abs_diff_2d; rule_text=comp99 abs diff 2d; support=same_operator_examples_2; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
4d714623,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
95""84 = 179
67""31 = 98
20""12 = 32
11""91 = 102
64:52 = 6452
Now, determine the result for: 57""50",107,"<think>op=""\""""; query=57""50; lhs=57; rhs=50; rule=x_plus_y; rule_text=x plus y; support=same_operator_examples_4; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
317ec3e6,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
40-82 = 2
23-28 = 5
31%94 = 125
Now, determine the result for: 18-86",14,"<think>op=""-""; query=18-86; lhs=18; rhs=86; rule=y_mod_x; rule_text=y mod x; support=same_operator_examples_2; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
a04ecffd,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
44!24 = !20
17>32 = 49
59!87 = !28
64-32 = 2047
10!89 = !79
Now, determine the result for: 67!35",!32,"<think>op=""!""; query=67!35; lhs=67; rhs=35; rule=x_minus_y; rule_text=x minus y; support=same_operator_examples_3; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
44e69b7e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
90%58 = 149
48{24 = {24
29:76 = 2204
95%35 = 131
32%84 = 117
Now, determine the result for: 83%35",119,"<think>op=""%""; query=83%35; lhs=83; rhs=35; rule=x_plus_y_plus1; rule_text=x plus y plus1; support=same_operator_examples_3; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
5b06502f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
20!22 = 441
37^62 = 25
77!93 = 7162
16!70 = 1121
98<87 = 185
Now, determine the result for: 31!57",1768,"<think>op=""!""; query=31!57; lhs=31; rhs=57; rule=x_mul_y_plus1; rule_text=x mul y plus1; support=same_operator_examples_3; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
6b393b81,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
19>36 = 1936
63>24 = 6324
36>39 = 3639
50<19 = 5019
65<72 = 6572
Now, determine the result for: 40>46",4046,"<think>op="">""; query=40>46; lhs=40; rhs=46; rule=concat_xy; rule_text=concat xy; support=same_operator_examples_3; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
552e14d7,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
59+94 = 9459
68+08 = 0868
14+35 = 3514
12+98 = 9812
76'52 = 24'
Now, determine the result for: 56+17",1756,"<think>op=""+""; query=56+17; lhs=56; rhs=17; rule=concat_yx; rule_text=concat yx; support=same_operator_examples_4; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
c7420a23,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34]17 = 578
78^63 = 142
16$83 = 67
39$17 = 22
84^62 = 147
Now, determine the result for: 42$75",33,"<think>op=""$""; query=42$75; lhs=42; rhs=75; rule=abs_diff_2d; rule_text=abs diff 2d; support=same_operator_examples_2; apply=rule(lhs,rhs); constraints=match_examples,box_only_final</think>",symbol,trace_boxed,verified_trace_ready
