id,previous_selection_tier,query_raw,answer,decision_rule,source_library,chosen_formula_name,chosen_formula_support,chosen_formula_error_rows,chosen_formula_complexity,runner_up_support,matched_formula_count,prediction_count,zero_error_gold_formula_count,gold_formula_supports
55f5e590,answer_only_keep,11111111,10001111,overall_unique_exact_formula,not_structured,"xor(not(shl4),shl7)",2,0,4,0,1,1,1,"xor(not(shl4),shl7)@2"
5309f723,answer_only_keep,00101011,00001011,overall_unique_exact_formula,not_structured,"xor(not(shl2),shl3)",1,0,4,0,1,1,1,"xor(not(shl2),shl3)@1"
5356c59d,answer_only_keep,01100000,01111111,overall_unique_exact_formula,not_structured,"xor(not(shl2),shl7)",1,0,4,0,1,1,1,"xor(not(shl2),shl7)@1"
b20b39bf,answer_only_keep,00000011,01110010,overall_unique_exact_formula,stage2,"xor(not(shl2),and(not(shr7),ror1))",5,0,7,0,1,1,1,"xor(not(shl2),and(not(shr7),ror1))@5"
e80d8872,answer_only_keep,11100010,00000111,overall_unique_exact_formula,stage2,"xor(not(shl2),and(not(shr7),ror1))",5,0,7,0,1,1,1,"xor(not(shl2),and(not(shr7),ror1))@5"
6a635e3e,answer_only_keep,11110111,10001111,overall_unique_exact_formula,stage2,"xor(not(shl6),and(not(shr4),rol3))",4,0,7,0,1,1,1,"xor(not(shl6),and(not(shr4),rol3))@4"
929bbda5,answer_only_keep,11111001,01111111,overall_unique_exact_formula,stage2,"xor(not(shl6),and(not(shr4),rol3))",4,0,7,0,1,1,1,"xor(not(shl6),and(not(shr4),rol3))@4"
ccc42ec2,answer_only_keep,10000010,01101011,overall_unique_exact_formula,stage2,"xor(not(shl6),and(not(shr4),rol3))",4,0,7,0,1,1,1,"xor(not(shl6),and(not(shr4),rol3))@4"
cd37d0d3,answer_only_keep,11011100,00011101,overall_unique_exact_formula,stage2,"xor(not(shl6),and(not(shr4),rol3))",4,0,7,0,1,1,1,"xor(not(shl6),and(not(shr4),rol3))@4"
2bb09a3e,answer_only_keep,11010001,11001111,overall_unique_exact_formula,stage2,"or(shr5,xor(not(ror2),shl2))",3,0,6,0,1,1,1,"or(shr5,xor(not(ror2),shl2))@3"
da616170,answer_only_keep,11110100,00010111,overall_unique_exact_formula,stage2,"or(shr5,xor(not(ror2),shl2))",3,0,6,0,1,1,1,"or(shr5,xor(not(ror2),shl2))@3"
f62c1fa3,answer_only_keep,11011110,00110110,overall_unique_exact_formula,stage2,"or(shr5,xor(not(ror2),shl2))",3,0,6,0,1,1,1,"or(shr5,xor(not(ror2),shl2))@3"
0290f51a,answer_only_keep,11010001,10101111,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr5),ror2))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr5),ror2))@3"
1fd84ab1,answer_only_keep,01001111,11001110,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr5),ror2))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr5),ror2))@3"
39d3d49f,answer_only_keep,10001000,11011101,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr4),ror2))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr4),ror2))@3"
4145ec70,answer_only_keep,11101000,11000111,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr5),ror2))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr5),ror2))@3"
4732c53f,answer_only_keep,10101011,01001010,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr6),ror1))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr6),ror1))@3"
77f17a8f,answer_only_keep,01111110,00011111,overall_unique_exact_formula,stage2,"xor(not(shl7),and(not(shr2),rol2))",3,0,7,0,1,1,1,"xor(not(shl7),and(not(shr2),rol2))@3"
7b4ac17a,answer_only_keep,10000010,11010101,overall_unique_exact_formula,stage2,"xor(not(shl4),and(not(shr7),rol2))",3,0,7,0,1,1,1,"xor(not(shl4),and(not(shr7),rol2))@3"
7c538bb0,answer_only_keep,01010010,10110110,overall_unique_exact_formula,stage2,"xor(not(shl7),and(not(shr2),rol2))",3,0,7,0,1,1,1,"xor(not(shl7),and(not(shr2),rol2))@3"
8c06fb6f,answer_only_keep,00110011,10111111,overall_unique_exact_formula,stage2,"xor(not(shl7),and(not(shr2),rol2))",3,0,7,0,1,1,1,"xor(not(shl7),and(not(shr2),rol2))@3"
a316aadc,answer_only_keep,01100010,01010110,overall_unique_exact_formula,stage2,"xor(not(shl4),and(not(shr7),rol2))",3,0,7,0,1,1,1,"xor(not(shl4),and(not(shr7),rol2))@3"
a60c36ec,answer_only_keep,11000111,11101110,overall_unique_exact_formula,stage2,"xor(not(shl5),and(not(shr4),ror2))",3,0,7,0,1,1,1,"xor(not(shl5),and(not(shr4),ror2))@3"
ab064b6a,manual_audit_priority,00000000,11111111,overall_unique_exact_formula,stage2,"xor(not(shl3),and(not(shr7),ror2))",3,0,7,0,1,1,1,"xor(not(shl3),and(not(shr7),ror2))@3"
b74a49c4,manual_audit_priority,11000001,01000111,overall_unique_exact_formula,stage2,"xor(not(shl7),and(not(shr5),ror3))",3,0,7,0,1,1,1,"xor(not(shl7),and(not(shr5),ror3))@3"
