id,selection_tier,answer,query_raw,safe_prediction,safe_prediction_count,safe_formula_count,safe_support_max,safe_formulas,all_predictions
b287ee74,answer_only_keep,00000000,00111010,00000000,1,6,7,"or(shr6,and(const_00000001,not(ror3)))|or(shr6,and(rol3,shr7))|or(shr6,and(ror1,shr7))|or(shr6,and(ror2,shr7))|or(shr6,and(ror3,shr7))|shr6",00000000|00000001|00000010|10000000
0ddca8bf,answer_only_keep,00000001,01000001,00000001,1,4,7,"or(shr6,and(const_00000001,not(ror1)))|or(shr6,and(rol3,shr7))|or(shr6,and(ror3,shr7))|shr6",00000000|00000001|00000011|10000001
62296199,answer_only_keep,00001000,10000001,00001000,1,4,5,"and(shr4,or(not(shr6),rol3))|and(shr4,or(not(shr7),rol2))|and(shr4,or(not(shr7),rol3))|shr4",00000000|00001000|00001001|00001010|00001100|00001110|00011000|10001000
934a2c55,answer_only_keep,00101011,11010101,00101011,1,1,4,"xor(not(rol1),or(not(ror3),not(shl7)))",00101011
124bc762,exclude_suspect,11100010,10010111,11100010,1,1,14,"xor(not(shl5),not(shr6))",00100010|10100010|11100010|11100011
8982c48b,exclude_suspect,00100001,10010001,00100001,1,1,14,"xor(not(shl5),not(shr7))",00100000|00100001
bc4d68f5,exclude_suspect,00000011,11100000,00000011,1,1,14,"xor(not(shl3),not(shr6))",00000000|00000010|00000011
01e395d0,manual_audit_priority,01011101,11010100,01011101,1,1,49,"xor(not(shl7),and(not(shr4),rol3))",01011101
0245b9bb,manual_audit_priority,00001001,10001101,00001001,1,1,49,"xor(not(shl4),and(not(shr3),rol2))",00001001
06881e47,manual_audit_priority,11111100,11110011,11111100,1,1,49,"xor(not(shl7),and(not(shr2),rol3))",11111100
08b2b48d,manual_audit_priority,10101011,11111010,10101011,1,1,49,"xor(not(shl4),and(not(shr6),rol1))",10101011
0a6d48aa,manual_audit_priority,11100011,00111111,11100011,1,1,49,"xor(not(shl5),and(not(shr5),rol2))",11100011
0bc6e675,manual_audit_priority,01111100,11100110,01111100,1,1,49,"xor(not(shl7),and(not(shr3),rol2))",01111100
111296b0,manual_audit_priority,01001101,01010110,01001101,1,1,49,"xor(not(shl7),and(not(shr7),rol3))",01001101
1f7407ed,manual_audit_priority,00101101,01110010,00101101,1,1,49,"xor(not(shl5),and(not(shr6),rol3))",00101101
2e0f64b7,manual_audit_priority,01110001,10001111,01110001,1,1,49,"xor(not(shl7),and(not(shr3),rol1))",01110001
3970c492,manual_audit_priority,01101011,11111011,01101011,1,1,49,"xor(not(shl5),and(not(shr6),rol1))",01101011
4059e1a5,manual_audit_priority,00000111,00011110,00000111,1,1,49,"xor(not(shl6),and(not(shr3),rol2))",00000111
47a5c4f4,manual_audit_priority,11100001,11111011,11100001,1,1,49,"xor(not(shl6),and(not(shr7),rol3))",11100001
4e4424d5,manual_audit_priority,00101111,00110100,00101111,1,1,49,"xor(not(shl7),and(not(shr4),rol2))",00101111
5570b0a1,manual_audit_priority,10011101,10100001,10011101,1,1,49,"xor(not(shl5),and(not(shr5),rol1))",10011101
63d4557e,manual_audit_priority,10111100,11001011,10111100,1,1,49,"xor(not(shl5),and(not(shr4),rol2))",10111100
6689ee95,manual_audit_priority,10001111,00010110,10001111,1,1,49,"xor(not(shl5),and(not(shr6),rol3))",10001111
6a635e3e,manual_audit_priority,10001111,11110111,10001111,1,1,49,"xor(not(shl6),and(not(shr4),rol3))",10001111
77f17a8f,manual_audit_priority,00011111,01111110,00011111,1,1,49,"xor(not(shl7),and(not(shr2),rol2))",00011111
7973c1b7,manual_audit_priority,11000111,00101110,11000111,1,1,49,"xor(not(shl6),and(not(shr7),rol2))",11000111
7b4ac17a,manual_audit_priority,11010101,10000010,11010101,1,1,49,"xor(not(shl4),and(not(shr7),rol2))",11010101
7c538bb0,manual_audit_priority,10110110,01010010,10110110,1,1,49,"xor(not(shl7),and(not(shr2),rol2))",10110110
7eaadb01,manual_audit_priority,00100111,01110110,00100111,1,1,49,"xor(not(shl7),and(not(shr5),rol2))",00100111
7fec1d14,manual_audit_priority,00101010,10101010,00101010,1,1,49,"xor(not(shl6),and(not(shr6),rol3))",00101010
8c06fb6f,manual_audit_priority,10111111,00110011,10111111,1,1,49,"xor(not(shl7),and(not(shr2),rol2))",10111111
929bbda5,manual_audit_priority,01111111,11111001,01111111,1,1,49,"xor(not(shl6),and(not(shr4),rol3))",01111111
938b81c2,manual_audit_priority,01111111,01110101,01111111,1,1,49,"xor(not(shl6),and(not(shr1),rol1))",01111111
9d09171e,manual_audit_priority,01011111,01100011,01011111,1,1,49,"xor(not(shl5),and(not(shr4),rol1))",01011111
a0847120,manual_audit_priority,10000111,10111100,10000111,1,1,49,"xor(not(shl6),and(not(shr5),rol1))",10000111
a316aadc,manual_audit_priority,01010110,01100010,01010110,1,1,49,"xor(not(shl4),and(not(shr7),rol2))",01010110
a62dd199,manual_audit_priority,10111011,11001010,10111011,1,1,49,"xor(not(shl7),and(not(shr2),rol3))",10111011
aa72ae9f,manual_audit_priority,00100110,10100111,00100110,1,1,49,"xor(not(shl2),and(not(shr4),rol1))",00100110|00100111
b3785949,manual_audit_priority,11100011,10010011,11100011,1,1,49,"xor(not(shl7),and(not(shr6),rol3))",11100011
b6e4a36d,manual_audit_priority,01011111,00111101,01011111,1,1,49,"xor(not(shl6),and(not(shr1),rol2))",01011111
b8dcc19a,manual_audit_priority,10101001,11000110,10101001,1,1,49,"xor(not(shl4),and(not(shr7),rol3))",10101001
c65654a5,manual_audit_priority,01010001,11011001,01010001,1,1,49,"xor(not(shl3),and(not(shr7),rol2))",01010001
c6ac4d1d,manual_audit_priority,01111011,00101001,01111011,1,1,49,"xor(not(shl5),and(not(shr5),rol2))",01111011
c8730ea5,manual_audit_priority,00101011,00010011,00101011,1,1,49,"xor(not(shl3),and(not(shr7),rol2))",00101011
ccc42ec2,manual_audit_priority,01101011,10000010,01101011,1,1,49,"xor(not(shl6),and(not(shr4),rol3))",01101011
cd37d0d3,manual_audit_priority,00011101,11011100,00011101,1,1,49,"xor(not(shl6),and(not(shr4),rol3))",00011101
d26f22c3,manual_audit_priority,11101100,10010011,11101100,1,1,49,"xor(not(shl4),and(not(shr5),rol1))",11101100
d9bdf754,manual_audit_priority,00011111,01110000,00011111,1,1,49,"xor(not(shl7),and(not(shr4),rol1))",00011111
da778b21,manual_audit_priority,11000111,00101110,11000111,1,1,49,"xor(not(shl6),and(not(shr4),rol2))",11000111
db360db0,manual_audit_priority,11000110,10011110,11000110,1,1,49,"xor(not(shl7),and(not(shr5),rol1))",11000110
e099a43a,manual_audit_priority,01111110,11100000,01111110,1,1,49,"xor(not(shl5),and(not(shr4),rol2))",01111110
e5d0d497,manual_audit_priority,01101101,10011101,01101101,1,1,49,"xor(not(shl5),and(not(shr4),rol1))",01101101
f3cdeb29,manual_audit_priority,01101110,10111101,01101110,1,1,49,"xor(not(shl3),and(not(shr6),rol1))",01101110
f417b927,manual_audit_priority,10100011,00011010,10100011,1,1,49,"xor(not(shl2),and(not(shr5),rol1))",10100011
fa553b92,manual_audit_priority,11000011,01010011,11000011,1,1,49,"xor(not(shl1),and(not(shr6),rol3))",11000011
fcc6dff6,manual_audit_priority,00111010,11101010,00111010,1,1,49,"xor(not(shl7),and(not(shr2),rol1))",00111010
02a5a1ca,manual_audit_priority,01101101,10110001,01101101,1,1,23,"or(shr2,xor(not(ror3),shl3))",01101101
12fd5b6c,manual_audit_priority,11001111,00100101,11001111,1,1,23,"or(shr4,xor(not(ror3),shl2))",11001111
21245d76,manual_audit_priority,01111111,11011011,01111111,1,1,23,"or(shr4,xor(not(ror1),shl2))",01111111
236034b4,manual_audit_priority,00100011,11100000,00100011,1,1,23,"or(shr6,xor(not(ror3),shl1))",00100011
2bb09a3e,manual_audit_priority,11001111,11010001,11001111,1,1,23,"or(shr5,xor(not(ror2),shl2))",11001111
2f5f8f45,manual_audit_priority,01000110,00100110,01000110,1,1,23,"or(shr3,xor(not(ror2),shl3))",01000110
498083ff,manual_audit_priority,01111011,11010110,01111011,1,1,23,"or(shr1,xor(not(ror2),shl2))",01111011
5e0b85b0,manual_audit_priority,01001111,11111010,01001111,1,1,23,"or(shr4,xor(not(ror3),shl2))",01001111
64a72fd3,manual_audit_priority,10010111,01010000,10010111,1,1,23,"or(shr4,xor(not(ror1),shl2))",10010111
67ae4217,manual_audit_priority,11101101,01011111,11101101,1,1,23,"or(shr4,xor(not(ror3),shl3))",11101101
78db4aa3,manual_audit_priority,11011011,11011001,11011011,1,1,23,"or(shr3,xor(not(ror1),shl3))",11011011
7c27d6df,manual_audit_priority,00101101,01011010,00101101,1,1,23,"or(shr1,xor(not(ror2),shl2))",00101101
82ae858c,manual_audit_priority,11001101,00110111,11001101,1,1,23,"or(shr2,xor(not(ror3),shl2))",11001101
8a45a3d4,manual_audit_priority,11111111,01000100,11111111,1,1,23,"or(shr1,xor(not(ror3),shl1))",11111111
a33019c4,manual_audit_priority,00100111,11110000,00100111,1,1,23,"or(shr5,xor(not(ror3),shl2))",00100111
a99ea0f0,manual_audit_priority,00101011,01010010,00101011,1,1,23,"or(shr3,xor(not(ror2),shl2))",00101011
b61470ef,manual_audit_priority,10110111,00100000,10110111,1,1,23,"or(shr6,xor(not(ror2),shl1))",10110111
d155a508,manual_audit_priority,01010110,11001001,01010110,1,1,23,"or(shr5,xor(not(ror3),shl1))",01010110
da616170,manual_audit_priority,00010111,11110100,00010111,1,1,23,"or(shr5,xor(not(ror2),shl2))",00010111
ea2e88ca,manual_audit_priority,00110111,00011100,00110111,1,1,23,"or(shr2,xor(not(ror1),shl4))",00110111
f18abb65,manual_audit_priority,01011101,00010110,01011101,1,1,23,"or(shr2,xor(not(ror3),shl4))",01011101
f1c1ed58,manual_audit_priority,01111111,11011011,01111111,1,1,23,"or(shr3,xor(not(ror1),shl2))",01111111
f62c1fa3,manual_audit_priority,00110110,11011110,00110110,1,1,23,"or(shr5,xor(not(ror2),shl2))",00110110
025abbbb,manual_audit_priority,00000001,10001100,00000001,1,1,14,"xor(not(shl6),not(shr7))",00000000|00000001
0dcacfab,manual_audit_priority,10011101,11101001,10011101,1,1,14,"xor(not(shl7),not(shr3))",00011101|10011101
2460c01a,manual_audit_priority,10111010,11101011,10111010,1,1,14,"xor(not(shl7),not(shr2))",00111010|10111010
323b9f56,manual_audit_priority,01100011,11110110,01100011,1,1,14,"xor(not(shl4),not(shr6))",01100000|01100001|01100011
4fb6838e,manual_audit_priority,10000101,10101011,10000101,1,1,14,"xor(not(shl7),not(shr5))",00000001|00000101|10000001|10000101|11000101
5a1179ee,manual_audit_priority,10000101,10111001,10000101,1,1,14,"xor(not(shl7),not(shr5))",00000101|10000101
6c7299c2,manual_audit_priority,10000111,01110001,10000111,1,1,14,"xor(not(shl7),not(shr4))",00000111|10000111
9ab82dfb,manual_audit_priority,10011100,11100110,10011100,1,1,14,"xor(not(shl6),not(shr3))",00011100|10011100
ba61b815,manual_audit_priority,00001101,11010000,00001101,1,1,14,"xor(not(shl7),not(shr4))",00000100|00001100|00001101
dbf2b40f,manual_audit_priority,10001101,10110101,10001101,1,1,14,"xor(not(shl5),not(shr2))",00001101|10001101
dfc4839c,manual_audit_priority,10000001,00011110,10000001,1,1,14,"xor(not(shl6),not(shr4))",00000001|10000001
6201374a,manual_audit_priority,10100000,00001010,10100000,1,35,10,"and(shl4,or(const_not_00010000,ror2))|and(shl4,or(not(rol2),not(shr1)))|and(shl4,or(not(rol2),not(shr3)))|and(shl4,or(not(rol3),not(shr2)))|and(shl4,or(not(rol3),not(shr3)))|and(shl4,or(not(ror1),not(shr2)))|and(shl4,or(not(ror1),not(shr3)))|and(shl4,or(not(ror2),not(shr1)))|and(shl4,or(not(ror2),not(shr3)))|and(shl4,or(not(ror3),not(shr1)))|and(shl4,or(not(ror3),not(shr2)))|and(shl4,or(not(shl5),not(shr1)))|and(shl4,or(not(shl5),not(shr2)))|and(shl4,or(not(shl6),not(shr1)))|and(shl4,or(not(shr2),rol2))|and(shl4,or(not(shr3),rol2))|and(shl4,or(not(shr3),rol3))|and(shl4,or(not(shr3),ror1))|and(shl4,or(not(shr3),ror2))|or(shl4,and(not(rol1),shl6))|or(shl4,and(not(rol1),shl7))|or(shl4,and(not(rol2),shl7))|or(shl4,and(not(rol3),shl7))|or(shl4,and(reverse,shl6))|or(shl4,and(ror1,shl6))|or(shl4,and(ror2,shl7))|or(shl4,and(ror3,shl7))|or(shl4,and(shl5,shr2))|or(shl4,and(shl6,shr1))|xor(not(shl4),or(not(shl1),not(shr6)))|xor(not(shl4),or(not(shl2),not(shr5)))|xor(not(shl4),or(not(shl5),not(shr2)))|xor(not(shl4),or(not(shl6),not(shr1)))|xor(not(shl4),or(not(shl7),rol1))|xor(not(shl4),or(not(shl7),rol3))",00100000|10100000
5dffe751,manual_audit_priority,01100000,11010110,01100000,1,29,10,"and(shl4,or(const_not_00010000,ror1))|and(shl4,or(not(rol2),not(shr3)))|and(shl4,or(not(rol3),not(shr3)))|and(shl4,or(not(ror1),not(shr3)))|and(shl4,or(not(ror2),not(shr3)))|and(shl4,or(not(ror3),not(shr2)))|and(shl4,or(not(shl5),not(shr2)))|and(shl4,or(not(shl6),not(shr1)))|and(shl4,or(not(shr2),ror1))|and(shl4,or(not(shr3),rol2))|and(shl4,or(not(shr3),rol3))|and(shl4,or(not(shr3),ror1))|and(shl4,or(not(shr3),ror2))|or(shl4,and(not(rol1),shl7))|or(shl4,and(not(rol2),shl7))|or(shl4,and(not(rol3),shl6))|or(shl4,and(not(rol3),shl7))|or(shl4,and(reverse,shl5))|or(shl4,and(reverse,shl6))|or(shl4,and(ror1,shl6))|or(shl4,and(ror2,shl7))|or(shl4,and(ror3,shl7))|or(shl4,and(shl5,shr2))|or(shl4,and(shl6,shr1))|xor(not(shl4),or(not(shl1),not(shr6)))|xor(not(shl4),or(not(shl2),not(shr5)))|xor(not(shl4),or(not(shl5),not(shr2)))|xor(not(shl4),or(not(shl6),not(shr1)))|xor(not(shl4),or(not(shl7),rol2))",01000000|01100000|01100001|11100000
1d08947a,manual_audit_priority,10010100,01100101,10010100,1,7,10,"and(shl2,or(not(ror2),not(shr5)))|and(shl2,or(not(shl6),not(shr1)))|and(shl2,or(not(shr5),rol1))|and(shl2,or(not(shr5),ror1))|or(shl2,and(shl3,shr4))|or(shl2,and(shl4,shr3))|or(shl2,and(shl5,shr2))",00010100|10010000|10010100|10010101|10011100|10110100|11010100
491e3793,manual_audit_priority,10110011,11011100,10110011,1,1,10,"xor(not(shl5),and(nibble_swap,not(shr6)))",10110011
55d834d1,manual_audit_priority,00111111,00011100,00111111,1,1,10,"xor(not(shl7),and(nibble_swap,not(shr3)))",00111111
6a41d37b,manual_audit_priority,00101011,01011011,00101011,1,1,10,"xor(not(shl5),and(nibble_swap,not(shr6)))",00101011
7064acac,manual_audit_priority,01111100,00111000,01111100,1,1,10,"xor(not(shl6),and(nibble_swap,not(shr6)))",01111100
