id,selection_tier,query_operator,same_operator_example_count,query_raw,answer,predicted_answer,reverse_spec_count,reverse_specs,decision_note
47c368d8,manual_audit_priority,!,2,29!56,851,851,3,!::x_plus_y_plus1__rev_in1_rev_out1::abs_plain|!::x_plus_y_plus1__rev_in1_rev_out1::plain|!::x_plus_y_plus1__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
f463ee16,manual_audit_priority,!,2,75!13,78,78,3,!::x_plus_y_minus1__rev_in1_rev_out1::abs_plain|!::x_plus_y_minus1__rev_in1_rev_out1::plain|!::x_plus_y_minus1__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
80d44fe3,manual_audit_priority,"""",3,"65""38",72,72,3,"""::max_mod_min__rev_in1_rev_out1::abs_plain|""::max_mod_min__rev_in1_rev_out1::plain|""::max_mod_min__rev_in1_rev_out1::prefix_if_negative",prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
95d8ff2c,manual_audit_priority,"""",3,"88""96",651,651,3,"""::x_plus_y_minus1__rev_in1_rev_out1::abs_plain|""::x_plus_y_minus1__rev_in1_rev_out1::plain|""::x_plus_y_minus1__rev_in1_rev_out1::prefix_if_negative",prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
744a2570,manual_audit_priority,"""",2,"87""38",5,5,3,"""::max_mod_min__rev_in1_rev_out1::abs_plain|""::max_mod_min__rev_in1_rev_out1::plain|""::max_mod_min__rev_in1_rev_out1::prefix_if_negative",prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
4d92de08,manual_audit_priority,#,1,15#81,819,819,3,#::x_mul_y__rev_in1_rev_out1::abs_plain|#::x_mul_y__rev_in1_rev_out1::plain|#::x_mul_y__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
9b9e024b,manual_audit_priority,#,1,23#29,421,421,3,#::x_plus_y__rev_in1_rev_out1::abs_plain|#::x_plus_y__rev_in1_rev_out1::plain|#::x_plus_y__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
db4383f3,manual_audit_priority,$,1,01$75,175,175,3,$::x_mul_y_plus1__rev_in1_rev_out1::abs_plain|$::x_mul_y_plus1__rev_in1_rev_out1::plain|$::x_mul_y_plus1__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
d6a2e332,manual_audit_priority,%,3,11%62,582,582,3,%::x_mul_y_minus1__rev_in1_rev_out1::abs_plain|%::x_mul_y_minus1__rev_in1_rev_out1::plain|%::x_mul_y_minus1__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
a1523a63,manual_audit_priority,%,2,66%31,87,87,3,%::x_plus_y_minus1__rev_in1_rev_out1::abs_plain|%::x_plus_y_minus1__rev_in1_rev_out1::plain|%::x_plus_y_minus1__rev_in1_rev_out1::prefix_if_negative,prompt-local reverse-mode exact consensus; kept answer-only to avoid trace overclaim
