id,selection_tier,answer,query_raw,safe_prediction,safe_prediction_count,safe_formula_count,safe_formulas,all_predictions
1deaf759,answer_only_keep,10100111,11110100,10100111,1,2,"and(not(shl7),rol3)|choose(shl7,shr1,rol3)",10100111
48db5ccf,answer_only_keep,01101110,01110110,01101110,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",01101110
62dba403,answer_only_keep,10011001,00010011,10011001,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",10011001
6686f0de,answer_only_keep,10110111,00111011,10110111,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",10110111
084a4496,answer_only_keep,11000111,00111110,11000111,1,3,"choose(not(shr7),ror3,not(nibble_swap))|xor(not(ror3),not(shr7))|xor(ror3,shr7)",11000111
5a0c141c,answer_only_keep,01010000,10000100,01010000,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",01010000
934a2c55,answer_only_keep,00101011,11010101,,2,5,"choose(not(shl7),rol1,not(nibble_swap))|choose(not(shl7),rol1,ror2)|choose(shl7,ror2,rol1)|xor(not(rol1),not(shl7))|xor(rol1,shl7)",00101011|10101011
eeb60061,answer_only_keep,00000101,01010000,00000101,1,2,"xor(nibble_swap,shl7)|xor(nibble_swap,shl7)",00000101
368f20dd,answer_only_keep,10000101,01010000,10000101,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",10000101
a41a3626,answer_only_keep,10111011,10110011,,2,8,"choose(not(shl7),nibble_swap,rol1)|choose(not(shl7),nibble_swap,rol2)|choose(not(shl7),nibble_swap,x)|choose(shl7,rol1,nibble_swap)|choose(shl7,rol2,nibble_swap)|choose(shl7,x,nibble_swap)|xor(nibble_swap,shl7)|xor(nibble_swap,shl7)",00111011|10111011
a8887238,answer_only_keep,00101000,10000100,00101000,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",00101000
d4e29ed7,answer_only_keep,11111011,01101111,11111011,1,2,"xor(not(shl5),not(shr2))|xor(shl5,shr2)",11111011
d8ef1dae,answer_only_keep,11011011,01011101,11011011,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",11011011
07434d56,answer_only_keep,11011001,01001101,11011001,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",11011001
1c7c1246,answer_only_keep,00100110,01001100,00100110,1,3,"choose(not(shl6),shr1,not(ror1))|xor(not(shl6),not(shr1))|xor(shl6,shr1)",00100110
41beb86c,answer_only_keep,01010000,10010101,01010000,1,2,"xor(not(shl2),not(shr5))|xor(shl2,shr5)",01010000
4c237bf3,answer_only_keep,10000011,11100001,10000011,1,2,"xor(not(shl2),not(shr5))|xor(shl2,shr5)",10000011
e16e7f6d,answer_only_keep,01110100,01001110,01110100,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",01110100
07d8149a,answer_only_keep,01000000,01111010,01000000,1,4,"and(rol1,shl5)|and(rol1,shl5)|choose(not(shl5),shl7,rol1)|choose(shl5,rol1,shl7)",01000000
093de4ea,answer_only_keep,01101010,11010100,01101010,1,4,"and(not(shl5),ror1)|choose(not(shl5),ror1,shr2)|choose(shl5,shr2,ror1)|choose(shl5,shr3,ror1)",01101010
0cfc74d4,answer_only_keep,11011000,11000110,11011000,1,4,"choose(not(shl7),ror3,rol2)|choose(shl7,rol2,ror3)|xor(not(ror3),not(shl7))|xor(ror3,shl7)",11011000
104dc8aa,answer_only_keep,00000010,01001100,00000010,1,5,"choose(not(shl7),shr5,not(rol1))|choose(not(shr7),shr5,ror2)|choose(shr7,ror2,shr5)|shr5|shr5",00000010
10dfe5c5,answer_only_keep,10100000,00101011,10100000,1,4,"and(rol2,shl4)|and(rol2,shl4)|choose(not(rol2),shr7,shl4)|choose(rol2,shl4,shr7)",10100000
114a7439,answer_only_keep,01110001,00111110,01110001,1,5,"and(not(shl6),rol3)|choose(not(shl6),rol3,x)|choose(shl6,shr2,rol3)|choose(shl6,x,rol3)|majority(not(shl6),rol3,shl7)",01110001
12897b38,answer_only_keep,00100110,00110101,,2,6,"and(not(shl7),ror3)|choose(not(shl7),ror3,not(rol3))|choose(not(shl7),ror3,not(x))|choose(not(shl7),ror3,rol1)|choose(shl7,rol1,ror3)|choose(shl7,shr1,ror3)",00100110|10100110
16e73f0e,answer_only_keep,00000001,10011100,00000001,1,4,"and(ror2,shr4)|and(ror2,shr4)|choose(not(ror2),shl7,shr4)|choose(ror2,shr4,shl7)",00000001
18c54744,answer_only_keep,00000000,11001001,00000000,1,4,"and(rol1,shl2)|and(rol1,shl2)|choose(not(rol1),shl7,shl2)|choose(rol1,shl2,shl7)",00000000
