id,family,audit_bucket,hard_score,risk_bin,is_public_test_overlap,subfamily,answer_type,num_examples,query_raw,parse_ok,parse_confidence,group_signature,prompt_preview,answer
4ac6f0cb,bit_manipulation,hard,8.0,risk_high,False,unknown,binary8,10,01010101,True,0.99,unknown__ex10__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",10100101
885c8b51,bit_manipulation,hard,8.0,risk_high,False,unknown,binary8,10,11111111,True,0.99,unknown__ex10__qhwhigh,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00000001
ec2e58ea,bit_manipulation,hard,8.0,risk_high,False,unknown,binary8,10,01010101,True,0.99,unknown__ex10__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",10100000
5f66eb60,bit_manipulation,hard,7.0,risk_high,False,unknown,binary8,9,11111111,True,0.99,unknown__ex9__qhwhigh,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",11111111
89bcfe7c,bit_manipulation,hard,7.0,risk_high,False,unknown,binary8,9,00000000,True,0.99,unknown__ex9__qhwlow,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00000000
97e7a57f,bit_manipulation,hard,7.0,risk_high,False,unknown,binary8,9,10101010,True,0.99,unknown__ex9__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",01010000
b9e9dc9f,bit_manipulation,hard,7.0,risk_high,False,unknown,binary8,9,00000000,True,0.99,unknown__ex9__qhwlow,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00000000
f922f81c,bit_manipulation,hard,7.0,risk_high,False,unknown,binary8,9,00000000,True,0.99,unknown__ex9__qhwlow,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00000000
0031df9c,bit_manipulation,hard,6.0,risk_high,False,unknown,binary8,10,11010000,True,0.99,unknown__ex10__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00110100
00890aff,bit_manipulation,hard,6.0,risk_high,False,unknown,binary8,10,11100101,True,0.99,unknown__ex10__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",01110000
8631d7b6,bit_manipulation,normal,6.0,risk_high,False,unknown,binary8,10,11011101,True,0.99,unknown__ex10__qhwhigh,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00000000
0b16458a,bit_manipulation,normal,5.0,risk_mid,False,unknown,binary8,9,10001110,True,0.99,unknown__ex9__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",01110000
4c8182b0,bit_manipulation,normal,5.0,risk_mid,False,unknown,binary8,9,00100010,True,0.99,unknown__ex9__qhwlow,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",10001100
8ad0116e,bit_manipulation,normal,5.0,risk_mid,False,unknown,binary8,9,00100010,True,0.99,unknown__ex9__qhwlow,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",01000100
d50683b4,bit_manipulation,normal,5.0,risk_high,False,unknown,binary8,9,00110001,True,0.99,unknown__ex9__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",00100110
abba85ac,bit_manipulation,normal,3.0,risk_low,False,unknown,binary8,8,10011101,True,0.99,unknown__ex8__qhwmid,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, A",11101110
