id,selection_tier,query_raw,answer,decision_note
00c032a8,manual_audit_priority,))!\),\^?,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
012cab1f,manual_audit_priority,{`'(&,|@{,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0133bcec,manual_audit_priority,\(*[#,\([#,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
017a871e,manual_audit_priority,"#!-""^",\:,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
01b2aa67,manual_audit_priority,|}+@},+},README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
01ef1e3e,manual_audit_priority,''+`!,[](,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
02664ad5,manual_audit_priority,!}-(!,:}',README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
02902eb3,manual_audit_priority,!!+$>,>/,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
02c15453,manual_audit_priority,>'-]',(,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
02e871e4,manual_audit_priority,\]-]#,$',README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
03a3437f,manual_audit_priority,'}-/>,-!,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
042f1e53,manual_audit_priority,&&-&?,-},README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
05109055,manual_audit_priority,\(:|/,`>%/,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
055a8b01,manual_audit_priority,//-/$,',README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
05bd2dab,manual_audit_priority,'&[?!,[)),README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0625f633,manual_audit_priority,))*!(,@@//,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
07b440f0,manual_audit_priority,@$-^$,@$^$,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
083ed8fe,manual_audit_priority,<&*:/,<#):,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
09d5ee68,manual_audit_priority,|:*>>,!?'!,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0a94b2de,manual_audit_priority,]}#@],@}`@,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0bb591e6,manual_audit_priority,"""$+%%",%?<,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0c0c6320,manual_audit_priority,>!*|{,""":!|",README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0c30f561,manual_audit_priority,^]-^^,-],README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0d542478,manual_audit_priority,</!&{,}<,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0d90736f,manual_audit_priority,::-)[,:,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0da1841f,manual_audit_priority,(\+#%,(\#%,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0dce4039,manual_audit_priority,)!-#>,-@/,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0df82d52,manual_audit_priority,"/}""#`","""!!",README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0e3307ba,manual_audit_priority,$/^{|,:$,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0f01cece,manual_audit_priority,:@+`\,@^,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
0fcf912a,manual_audit_priority,|#^&!,|#&!,README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
10552d46,manual_audit_priority,(?-:(,?',README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
10a94678,manual_audit_priority,""">*)\","""""\}",README final-answer metric + exhaustive glyph solver scans found ambiguity but no concrete suspect signal; kept as answer-only training labels while remaining non-trace-safe
