id,selection_tier,query_operator,same_operator_example_count,query_raw,answer,decision_note
5d055504,manual_audit_priority,!,0,76!23,99,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
861cb154,manual_audit_priority,!,0,14!24,2271,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
940df3f4,manual_audit_priority,!,0,27!82,5102,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
0c0683c3,manual_audit_priority,"""",0,"79""59",138,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
356e927c,manual_audit_priority,#,0,24#28,421,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
c84544db,manual_audit_priority,#,0,20#24,2024,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
8e3e4928,manual_audit_priority,$,0,57$07,5,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
1da822f1,manual_audit_priority,%,0,26%23,598,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
20f0fac9,manual_audit_priority,%,0,31%96,2976,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
7d8fe3a8,manual_audit_priority,%,0,91%84,7644,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
b451be8a,manual_audit_priority,%,0,22%42,64,"README final-answer metric + no same-operator evidence means these rows stay non-trace-safe, but with parse_ok and no suspect signal they are retained as raw answer-only supervision"
