id,selection_tier,status,query_operator,same_operator_example_count,query_raw,answer,predicted_answer,prediction_count,candidate_predictions,gold_in_candidates,query_unseen_digits,group_combo_count,feasible_group_combo_count
71d91445,manual_audit_priority,no_spec,/,3,"\""/@|",},,0,,False,,0,0
7d9ff0d2,manual_audit_priority,no_spec,&,3,/^&<?,(,,0,,False,,0,0
239771fb,manual_audit_priority,no_spec,},2,"""'}|""",|)},,0,,False,,0,0
57f6878e,manual_audit_priority,no_spec,<,2,|@<:(,%{{,,0,,False,,0,0
c8b57f1d,manual_audit_priority,no_spec,>,2,|/>%\,""")",,0,,False,,0,0
d3c1d2fb,manual_audit_priority,no_spec,!,2,^:!]#,)/,,0,,False,,0,0
e2c069ae,manual_audit_priority,no_spec,},2,:!}{:,/{,,0,,False,,0,0
71310176,manual_audit_priority,no_spec,-,1,$)-{/,:]{,,0,,False,,0,0
979071a0,manual_audit_priority,no_spec,!,1,{\!@\,))<,,0,,False,,0,0
9dae880f,manual_audit_priority,no_spec,},1,:<}`\,))[,,0,,False,,0,0
afca7259,manual_audit_priority,no_spec,`,1,?}`/>,>>&,,0,,False,,0,0
2c017f70,manual_audit_priority,ok,+,4,>/+%(,>/%(,,0,,False,,1,1
02c15453,manual_audit_priority,ok,-,4,>'-]',(,,0,,False,,5,0
d7e5414c,manual_audit_priority,ok,},4,#[}@[,|%\\,,0,,False,,144,2
0133bcec,manual_audit_priority,ok,*,3,\(*[#,\([#,,0,,False,,5,5
c5955a0a,manual_audit_priority,ok,-,3,&:-&|,@',,0,,False,,6,3
85c5b2a2,manual_audit_priority,ok,),3,$<)$$,$<$$,,0,,False,,9,9
a26065d4,manual_audit_priority,ok,+,3,<&+<#,<',,0,,False,,21,0
4bfd095a,manual_audit_priority,ok,*,3,@/*[@,{<<<,,0,,False,,22,2
564916b5,manual_audit_priority,ok,-,3,"""!-$$",$,,0,,False,,24,0
fd1c8f66,manual_audit_priority,ok,-,3,'>-@@,-}@,,0,,False,,24,2
8043a9d2,manual_audit_priority,ok,*,3,\:*$|,$|\:,,0,,False,,32,32
2cf042b9,manual_audit_priority,ok,-,3,|>-|[,?^,,0,,False,,38,1
a3a00a02,manual_audit_priority,ok,+,3,{]+:{,^$,,0,,False,,48,1
48194d70,manual_audit_priority,ok,/,3,^@/[:,^[#|,,0,,False,,55,1
b69d2e78,manual_audit_priority,ok,+,3,)#+?|,|)\,,0,,False,,56,0
cad4b9a7,manual_audit_priority,ok,*,3,"?""*""(","#""^",,0,,False,,72,4
3559dfc9,manual_audit_priority,ok,',3,"""/'#>",[%[,,0,,False,,92,2
95353c23,manual_audit_priority,ok,*,2,!(*%`,<)<|,,0,,False,,5,1
3ef9ab02,manual_audit_priority,ok,-,2,"({-""%",-%],,0,,False,,6,1
64d775e5,manual_audit_priority,ok,+,2,)<+$&,$&)<,,0,,False,,6,1
9f1ff166,manual_audit_priority,ok,-,2,"""]-'/",[,,0,,False,,8,1
49f6ba46,manual_audit_priority,ok,&,2,)>&'!,``,,0,,False,,10,1
ec8b4875,manual_audit_priority,ok,*,2,|@*<!,"|""]",,0,,False,,18,2
ff0e37ae,manual_audit_priority,ok,*,2,"%'*""`","%'""`",,0,,False,,19,19
e8011eb6,manual_audit_priority,ok,*,2,!]*/>,]$|%,,0,,False,,21,1
f8bbabab,manual_audit_priority,ok,+,2,`>+>^,>^`>,,0,,False,,22,22
39a1f5e9,manual_audit_priority,ok,*,2,">[*<""","<"">[",,0,,False,,24,24
083ed8fe,manual_audit_priority,ok,*,2,<&*:/,<#):,,0,,False,,27,1
294453b5,manual_audit_priority,ok,-,2,##-!),&(,,0,,False,,40,0
7f21620f,manual_audit_priority,ok,(,2,<^(]{,")""/{",,0,,False,,44,1
efc95486,manual_audit_priority,ok,-,2,'<-^!,'/,,0,,False,,56,0
a1220274,manual_audit_priority,ok,*,2,`&*)<,&`{^,,0,,False,,60,7
a692ec38,manual_audit_priority,ok,*,2,/:*/$,"/""}",,0,,False,,60,1
80082389,manual_audit_priority,ok,!,2,^/!$),"""{""",,0,,False,,64,2
e62b6ae9,manual_audit_priority,ok,*,2,`!*^<,[[`<,,0,,False,,64,2
ae64d5e4,manual_audit_priority,ok,-,2,[[-&/,[,,0,,False,,68,0
223b2899,manual_audit_priority,ok,"""",2,"??"">`",<[{?,,0,,False,,80,2
180ddd62,manual_audit_priority,ok,],2,|)][),]/,,0,,False,,88,2
2e9b1b9d,manual_audit_priority,ok,+,2,")>+!""",<),,0,,False,,105,1
b50cf853,manual_audit_priority,ok,*,2,"|?*""}","|?""}",,0,,False,,110,46
5be6a3c1,manual_audit_priority,ok,{,2,[:{}@,}}?),,0,,False,,117,1
8962872b,manual_audit_priority,ok,?,2,``?`\,%`&,,0,,False,,160,3
55bc449c,manual_audit_priority,ok,(,2,!`(&:,:<,,0,,False,,216,4
f2399f16,manual_audit_priority,ok,-,2,">}-<""",">}""",,0,,False,,228,0
ba7d54c4,manual_audit_priority,ok,&,2,")""&)<",>((<,,0,,False,,256,3
cd2e20b9,manual_audit_priority,ok,+,2,>>+{`,||`,,0,,False,,276,1
d5602cc5,manual_audit_priority,ok,-,2,{<-#(,(%,,0,,False,,384,18
a11311a4,manual_audit_priority,ok,\,2,}@\(^,%[,,0,,False,,416,6
fb440865,manual_audit_priority,ok,(,2,{`(<{,@@,,0,,False,,420,0
54818142,manual_audit_priority,ok,-,2,>^->@,-<,,0,,False,,464,4
e9a9f047,manual_audit_priority,ok,+,2,<<+)\,|(,,0,,False,,480,0
1545b8f1,manual_audit_priority,ok,+,2,$|+$|,!)>,,0,,False,,512,5
