id,query_raw,answer,query_only_matching_families,same_operator_example_count,candidate_prediction_count,candidate_predictions,rejection_reason,prompt_example_lines,source
1b6366af,65!68,03!,abs_diff_2d_op_suffix,1,0,,low_shot_example_conflict,14/75 = 7332 || 25/82 = 6541 || 96<62 = 59 || 37!64 = 72! || 62/37 = 8981,known_family
2049f01d,52-75,23,abs_diff_2d,1,0,,low_shot_example_conflict,86+62 = 59 || 48+71 = 201 || 37-52 = 84 || 29*75 = 4425 || 16+11 = 37,known_family
34c563c5,45`41,04`,abs_diff_2d_op_suffix,1,0,,low_shot_example_conflict,28`44 = 83` || 77\54 = 221 || 84\34 = 19,known_family
891942ba,85-88,03,abs_diff_2d,1,0,,low_shot_example_conflict,72+29 = 2972 || 91-11 = 8 || 66*11 = 627 || 88+19 = 1988,known_family
92471ca4,02-38,36,abs_diff_2d,1,0,,low_shot_example_conflict,71+45 = 4571 || 37+09 = 0937 || 34-63 = 7,known_family
e247d364,65!76,11,abs_diff_2d,1,0,,low_shot_example_conflict,29!81 = 47 || 08{33 = 0462 || 19|99 = 091,known_family
03f07b43,81`20,61,abs_diff_2d,1,2,1|61,low_shot_format_ambiguous,55`39 = 16 || 61\65 = 126 || 42>23 = 4223 || 17\21 = 38,known_family
0bcffccd,44`54,10,abs_diff_2d,1,4,-10|10|44|`10,low_shot_format_ambiguous,61@52 = 3172 || 87`56 = 31 || 68@72 = 4896 || 54]53 = 108,known_family
157228d7,50*15,35,abs_diff_2d,1,2,*35|35,low_shot_format_ambiguous,28<40 = 69 || 82<68 = 151 || 28*78 = *50,known_family
47dc6570,48#26,22,abs_diff_2d,1,1,#48,low_shot_format_ambiguous,79+05 = 1584 || 59+03 = 1582 || 87+37 = 5965 || 67+65 = 7524 || 51#03 = #51,known_family
53b48918,91+10,81,abs_diff_2d,1,3,+81|-81|81,low_shot_format_ambiguous,70|42 = 7042 || 51#94 = 4794 || 56#88 = 4928 || 22+71 = 49,known_family
56c59dfd,96-74,22,abs_diff_2d,1,2,-22|22,low_shot_format_ambiguous,15+43 = 1543 || 34-87 = -53 || 28!85 = 112 || 14+75 = 1475 || 94+77 = 9477,known_family
74fff108,65^16,49,abs_diff_2d,1,4,-49|16|49|^49,low_shot_format_ambiguous,69-27 = 95 || 58^91 = 33 || 71?49 = 3479 || 41?10 = 410 || 26-82 = 107,known_family
7c5c7b73,21!34,13,abs_diff_2d,1,4,!13|-13|13|21,low_shot_format_ambiguous,62)72 = 4464 || 57)17 = 969 || 30!18 = 12,known_family
8158a14c,49)03,46,abs_diff_2d,1,3,)3|)46|46,low_shot_format_ambiguous,62)75 = )13 || 35(11 = 1135 || 38(64 = 6438,known_family
9b458fbc,34[73,39,abs_diff_2d,1,2,39|5,low_shot_format_ambiguous,84:48 = 4032 || 20@34 = 2034 || 12:85 = 1020 || 42[50 = 8,known_family
b03ab026,97{23,74,abs_diff_2d,1,2,5|74,low_shot_format_ambiguous,10&65 = 650 || 98{96 = 2 || 54&31 = 1674,known_family
b7b1d1a8,"74""17",57,abs_diff_2d,1,2,"""57|57",low_shot_format_ambiguous,"41""98 = ""57 || 47]64 = 3009 || 58-87 = 144 || 91-84 = 174 || 16-30 = 45",known_family
