benchmark_name,benchmark_role,benchmark_index,id,prompt,answer,family,family_short,template_subtype,selection_tier,teacher_solver_candidate,answer_type,num_examples,prompt_len_chars,hard_score,group_signature,query_raw,leaderboard_proxy_bucket,proxy_v2_source,proxy_v2_focus_bucket,proxy_v2_note,v1_focus_bucket,v1_exposure_band,v1_bucket_note,bit_structured_formula_name,bit_structured_formula_abstract_family,bit_not_structured_formula_name,bit_structured_formula_safe_support,bit_structured_formula_abstract_support,bit_not_structured_formula_safe_support,bit_no_candidate_positions,bit_multi_candidate_positions,query_hamming_bin,audit_priority_score,_source_name,_source_split,proxy_role,leaderboard_proxy_note,v3f_prediction,current_prediction,v3f_is_correct,current_is_correct
leaderboard_proxy_v2_set,leaderboard_proxy_v2,1,a6192d29,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101010 -> 00010100
10011011 -> 01100110
00110001 -> 01001000
11100011 -> 11110000
00011001 -> 00000110
10100111 -> 01001011
10000000 -> 00000000
01101100 -> 00011010
10001110 -> 00000111
11011001 -> 01110110

Now, determine the output for: 00110000",00001000,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,binary8,10,510,6.0,unknown__ex10__qhwlow,00110000,dominant_structured_abstract,leaderboard_proxy_v1_focus,dominant_structured_abstract,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_abstract,dominant,v1で厚い structured-byte abstract family 寄り slice。,"majority(ror2,shl1,shr1)","majority(ror,shl,shr)","majority(ror2,shl1,shr1)",1.0,52.0,1.0,8.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00001000,00001100,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,2,01e09228,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01000111 -> 01110000
00100010 -> 00101010
10101100 -> 01101010
10000110 -> 01100000
01100010 -> 00101110
00100011 -> 00111010
00001011 -> 10010000
11100110 -> 01111110

Now, determine the output for: 01011001",10010101,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,binary8,8,468,3.0,unknown__ex8__qhwmid,01011001,dominant_structured_abstract,leaderboard_proxy_v1_focus,dominant_structured_abstract,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_abstract,dominant,v1で厚い structured-byte abstract family 寄り slice。,"choose(shl2,shr2,nibble_swap)","choose(shl,shr,nibble_swap)","choose(not(shl2),nibble_swap,shr2)",1.0,21.0,1.0,4.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10010101,11000101,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,3,885c8b51,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11111011 -> 00001001
10000110 -> 00110000
00101000 -> 00000001
00101001 -> 00001001
11010010 -> 00010010
00000111 -> 00110000
01010000 -> 00000010
10111111 -> 10000001
10110100 -> 10000101
01100010 -> 00010011

Now, determine the output for: 11111111",00000001,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,8.0,unknown__ex10__qhwhigh,11111111,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(shl1,shr7,rol3)","choose(shl,shr,rol)","and(not(shl1),rol3)",2.0,59.0,2.0,7.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00000001,00000011,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,4,3fdc3de7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100110 -> 00100000
00101111 -> 01110000
11110010 -> 00000001
10111000 -> 10000001
11011101 -> 11001001
11001011 -> 00011000
11010001 -> 00001001
01011101 -> 11000000
11001110 -> 01100000
10110101 -> 00001001

Now, determine the output for: 11111110",11100001,bit_manipulation,binary,bit_structured_byte_formula,answer_only_keep,,binary8,10,510,6.0,unknown__ex10__qhwhigh,11111110,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"majority(nibble_swap,shl3,shr7)","majority(nibble_swap,shl,shr)","majority(nibble_swap,shl3,shr7)",2.0,12.0,2.0,8.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11100001,00000001,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,5,86b727ff,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100011 -> 00000000
00100101 -> 00100000
11010100 -> 10000010
01100011 -> 00000001
00100000 -> 00000000
00100100 -> 00000000
10100000 -> 00000000
10110111 -> 10100000
01111000 -> 00000001
00011010 -> 01000000

Now, determine the output for: 10011011",01000000,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,6.0,unknown__ex10__qhwmid,10011011,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"majority(rol3,shl5,shr6)","majority(rol,shl,shr)","majority(rol3,shl5,shr6)",2.0,41.0,2.0,8.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01000000,00000000,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,6,8e5d6fe6,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101110 -> 10011101
01100111 -> 10001100
10010110 -> 01010010
11111110 -> 11011111
11111011 -> 01111111
10000101 -> 00010000
10101111 -> 10110101
00001001 -> 00100001
00010000 -> 00000010
11011100 -> 00011011

Now, determine the output for: 00111100",10000111,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,10,510,6.0,unknown__ex10__qhwmid,00111100,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(rol2,ror3,shr3)","choose(rol,ror,shr)","choose(not(rol2),shr3,ror3)",3.0,5.0,3.0,3.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10000111,00000111,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,7,1c671acc,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10110010 -> 11011101
10010011 -> 11011100
00100000 -> 10000001
01101100 -> 11110011
11110000 -> 11000111
00000111 -> 00111100
00011011 -> 11111100
11011101 -> 11111110
11111000 -> 11100111

Now, determine the output for: 00101011",11111101,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,9,489,5.0,unknown__ex9__qhwmid,00101011,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"or(rol3,shl2)","or(rol,shl)",,2.0,20.0,0.0,6.0,1.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11111101,11111100,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,8,3bdb85cf,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10101110 -> 01110101
10000011 -> 00011100
10110100 -> 10100101
00011101 -> 10101000
11001100 -> 01100110
11101101 -> 00101111
00100010 -> 00010001
10010110 -> 00110100
11011110 -> 01110110

Now, determine the output for: 10001000",01000100,bit_manipulation,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,binary8,9,489,5.0,unknown__ex9__qhwlow,10001000,dominant_structured_safe,leaderboard_proxy_v1_focus,dominant_structured_safe,Focused hidden-gap slices from leaderboard_proxy_v1.,dominant_structured_safe,dominant,v1で最も厚い structured-byte exact formula 寄り slice。,"choose(shl6,shr2,rol3)","choose(shl,shr,rol)","and(not(shl6),rol3)",3.0,59.0,3.0,2.0,0.0,-1.0,0.0,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01000100,00100100,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,9,3feeabea,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10000001 -> 00010010
11010000 -> 00000011
10110011 -> 00110010
11111011 -> 10110011
01001111 -> 11110001
00100101 -> 01010000
01001000 -> 10000001
10010000 -> 00000010
01010010 -> 00100001

Now, determine the output for: 10101001",10010010,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,5.0,unknown__ex9__qhwmid,10101001,supported_affine_xor,leaderboard_proxy_v1_focus,supported_affine_xor,Focused hidden-gap slices from leaderboard_proxy_v1.,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"xor(shl4,shr6)","xor(shl,shr)","xor(not(shl4),not(shr6))",11.0,322.0,10.0,2.0,0.0,-1.0,8.5,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10010010,01000010,True,False
leaderboard_proxy_v2_set,leaderboard_proxy_v2,10,783a1317,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101001 -> 01001010
11101111 -> 11111011
01001010 -> 10010010
10010101 -> 00100101
11100000 -> 00111000
10111101 -> 01101111
11110000 -> 00111100
00111010 -> 00001110
11011111 -> 10110111

Now, determine the output for: 11111000",00111110,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,5.0,unknown__ex9__qhwmid,11111000,supported_affine_xor,leaderboard_proxy_v1_focus,supported_affine_xor,Focused hidden-gap slices from leaderboard_proxy_v1.,supported_affine_xor,supported,v1で明示的に学習量を確保した affine_xor slice。,"choose(rol1,ror2,shr2)","choose(rol,ror,shr)","choose(not(rol1),shr2,ror2)",1.0,5.0,1.0,2.0,0.0,-1.0,8.5,binary_bias_specialized_set,specialized,v3f_only,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00111110,11111100,True,False
