id,origin_problem_id,category,bucket,selection_tier,template_subtype,teacher_solver_candidate,recommended_repeat_count,assistant_styles,source_mixes,prompt_suffix_modes,proxy_failed,validation_failed,hard_score,source_tags
0dd5caf4,0dd5caf4,bit_manipulation,binary_logic_donor_exact,verified_trace_ready,bit_other,binary_two_bit_boolean,3,anti_default1_commit|exact_closure_commit|exact_rule_commit,v6_binary_donor,boxed_final_answer,False,False,5.0,binary_logic_exact|hard_default1_target|measured_regression|train_recommended_learning_target_v1|v6_binary_donor
c30a782a,c30a782a,bit_manipulation,binary_logic_donor_exact,verified_trace_ready,bit_other,binary_two_bit_boolean,3,anti_default1_commit|exact_closure_commit|exact_rule_commit,v6_binary_donor,boxed_final_answer,True,False,6.0,binary_logic_exact|current_proxy_fail|hard_default1_target|measured_regression|train_recommended_learning_target_v1|v6_binary_donor
0031df9c,0031df9c,bit_manipulation,binary_other_light,verified_trace_ready,bit_permutation_inversion,binary_bit_permutation_bijection,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v4_public_base
008b52fd,008b52fd,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_affine_xor,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
016c474c,016c474c,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_two_bit_boolean,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
030479a6,030479a6,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_affine_xor,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
04c44df4,04c44df4,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_affine_xor,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
06698d4e,06698d4e,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_byte_transform,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,1.0,binary_other_light|train_recommended_learning_target_v1|v4_public_base|validation_improved
08615ada,08615ada,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_affine_xor,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
0a5e80bf,0a5e80bf,bit_manipulation,binary_other_light,verified_trace_ready,bit_other,binary_two_bit_boolean,2,legacy_v4_long_trace,v4_public_base,boxed_final_answer,False,False,6.0,binary_other_light|train_recommended_learning_target_v1|v1_selected|v4_public_base
