bit_structured_formula_name,support_rows,gold_match_rows,error_rows,safe_formula
"xor(shl4,shr3)",16,16,0,True
"xor(shl5,shr2)",16,16,0,True
"xor(shl1,shr5)",15,15,0,True
"xor(shl2,shr1)",15,15,0,True
"xor(shl1,shr4)",13,13,0,True
"xor(shl2,shr3)",13,13,0,True
"xor(shl1,shr3)",12,12,0,True
"xor(shl1,shr2)",11,11,0,True
"xor(shl3,shr1)",11,11,0,True
"xor(shl3,shr4)",11,11,0,True
"xor(shl4,shr6)",11,11,0,True
"xor(shl6,shr5)",11,11,0,True
"xor(shl2,shr5)",10,10,0,True
"xor(shl3,shr2)",10,10,0,True
"xor(shl4,shr1)",10,10,0,True
"xor(shl5,shr1)",10,10,0,True
"xor(shl5,shr4)",10,10,0,True
"xor(shl5,shr6)",10,10,0,True
"xor(shl6,shr4)",10,10,0,True
"xor(shl4,shr2)",9,9,0,True
"xor(shl5,shr7)",9,9,0,True
ror3,8,8,0,True
"xor(shl1,shr6)",8,8,0,True
"xor(shl2,shr4)",8,8,0,True
"xor(shl4,shr5)",7,7,0,True
"xor(shl6,shr3)",7,7,0,True
"xor(shl7,shr2)",7,7,0,True
"or(ror2,shl3)",6,6,0,True
rol3,6,6,0,True
"xor(shl2,shr7)",6,6,0,True
ror1,5,5,0,True
ror2,5,5,0,True
"xor(nibble_swap,shr2)",5,5,0,True
"xor(shl3,shr6)",5,5,0,True
"xor(shl6,shr1)",5,5,0,True
"xor(shl7,shr4)",5,5,0,True
"xor(shl7,shr5)",5,5,0,True
"and(rol1,ror1)",4,4,0,True
"choose(shl5,shr3,rol1)",4,4,0,True
"choose(shl7,shr1,ror2)",4,4,0,True
"or(rol3,shr3)",4,4,0,True
"or(ror2,shr3)",4,4,0,True
"xor(rol1,shr2)",4,4,0,True
"xor(ror1,shl3)",4,4,0,True
"xor(shl7,shr3)",4,4,0,True
"xor(shl7,shr6)",4,4,0,True
"and(nibble_swap,shl1)",3,3,0,True
