bit_structured_formula_abstract_family,support_rows,gold_match_rows,distinct_exact_formula_count,error_rows,safe_abstract_family
"xor(shl,shr)",322,322,36,0,True
"choose(shl,shr,rol)",59,59,39,0,True
"majority(ror,shl,shr)",52,52,44,0,True
"choose(shl,shr,ror)",42,42,28,0,True
"majority(rol,shl,shr)",41,41,32,0,True
"xor(ror,shl)",33,33,16,0,True
"or(rol,shr)",31,31,13,0,True
"or(ror,shr)",26,26,14,0,True
"or(ror,shl)",25,25,15,0,True
"choose(shl,shr,nibble_swap)",21,21,16,0,True
"xor(rol,shr)",21,21,13,0,True
"xor(rol,shl)",21,21,12,0,True
"or(rol,shl)",20,20,12,0,True
"xor(ror,shr)",20,20,12,0,True
"and(ror,shr)",15,15,11,0,True
"and(rol,shl)",13,13,8,0,True
"and(ror,shl)",12,12,10,0,True
"majority(nibble_swap,shl,shr)",12,12,9,0,True
shr,12,12,7,0,True
ror,18,18,3,0,False
"and(rol,shr)",11,11,8,0,False
"or(nibble_swap,shr)",11,11,5,0,False
rol,11,11,3,0,False
"choose(shl,shl,rol)",9,9,7,0,False
"choose(shr,shr,ror)",9,9,7,0,False
"xor(nibble_swap,shl)",9,9,6,0,False
"and(rol,ror)",9,9,4,0,False
"xor(nibble_swap,shr)",9,9,3,0,False
"or(nibble_swap,shl)",6,6,4,0,False
shl,6,6,4,0,False
"and(nibble_swap,shl)",5,5,3,0,False
"choose(rol,ror,shr)",5,5,3,0,False
"choose(shr,shr,nibble_swap)",4,4,3,0,False
"and(nibble_swap,shr)",3,3,3,0,False
"choose(nibble_swap,rol,shl)",3,3,2,0,False
"choose(rol,nibble_swap,shr)",3,3,2,0,False
"choose(rol,shr,nibble_swap)",3,3,2,0,False
"choose(rol,shr,rol)",3,3,2,0,False
"choose(ror,rol,shl)",3,3,2,0,False
"choose(shl,shl,ror)",3,3,2,0,False
"and(nibble_swap,rol)",2,2,2,0,False
"and(rol,rol)",2,2,2,0,False
"choose(ror,nibble_swap,shl)",2,2,2,0,False
"choose(ror,ror,shr)",2,2,2,0,False
"choose(shr,shr,rol)",2,2,2,0,False
"choose(rol,shr,ror)",2,2,1,0,False
"choose(shl,shl,nibble_swap)",2,2,1,0,False
"and(nibble_swap,ror)",1,1,1,0,False
"choose(nibble_swap,shr,ror)",1,1,1,0,False
"choose(rol,rol,shl)",1,1,1,0,False
"choose(rol,rol,shr)",1,1,1,0,False
"choose(ror,ror,shl)",1,1,1,0,False
