benchmark_index,id,source_split,proxy_role,leaderboard_proxy_bucket,family_short,template_subtype,selection_tier,teacher_solver_candidate,gold_answer,v3f_prediction,v3f_is_correct,current_prediction,current_is_correct
1,52c62a3e,phase0,v3f_only,symbol:numeric_2x2,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,1292,1292,True,72,False
2,9cb03277,phase0,v3f_only,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,26,26,True,9090,False
3,8158a14c,phase0,v3f_only,symbol:numeric_2x2,symbol,numeric_2x2,answer_only_keep,,46,46,True,)-46,False
4,94643472,phase0,v3f_only,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,knight chases message,knight chases message,True,knight chess message,False
5,ccd5baec,phase0,v3f_only,text:text_monoalphabetic,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,the clever hatter chases,the clever hatter chases,True,the silver hatter potion,False
6,6a333ed6,specialized,v3f_only,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,00010000,00010000,True,00001000,False
7,c30a782a,specialized,v3f_only,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,01000110,01000110,True,00000110,False
8,af5302ca,specialized,v3f_only,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,00011111,00011111,True,00111111,False
9,94c25c56,specialized,v3f_only,boolean_family,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,11111111,11111111,True,11111110,False
10,1deaf759,specialized,v3f_only,dominant_structured_abstract,binary,bit_other,answer_only_keep,,10100111,10100111,True,01001111,False
11,a6192d29,specialized,v3f_only,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,00001000,00001000,True,00001100,False
12,01e09228,specialized,v3f_only,dominant_structured_abstract,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula_abstract,10010101,10010101,True,11000101,False
13,885c8b51,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,00000001,00000001,True,00000011,False
14,3fdc3de7,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,answer_only_keep,,11100001,11100001,True,00000001,False
15,86b727ff,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,01000000,01000000,True,00000000,False
16,8e5d6fe6,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,10000111,10000111,True,00000111,False
17,1c671acc,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,11111101,11111101,True,11111100,False
18,3bdb85cf,specialized,v3f_only,dominant_structured_safe,binary,bit_structured_byte_formula,verified_trace_ready,binary_structured_byte_formula,01000100,01000100,True,00100100,False
19,4195699e,specialized,v3f_only,no_solver_answer_only,binary,bit_other,answer_only_keep,,01100000,01100000,True,00000000,False
20,59c78e51,specialized,v3f_only,no_solver_answer_only,binary,bit_structured_byte_formula,answer_only_keep,,00000000,00000000,True,00000001,False
21,5b68563d,specialized,v3f_only,no_solver_answer_only,binary,bit_structured_byte_formula,answer_only_keep,,01100100,01100100,True,00100100,False
22,004ef7c7,specialized,v3f_only,no_solver_manual,binary,bit_other,manual_audit_priority,,11111111,11111111,True,11111101,False
23,3feeabea,specialized,v3f_only,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,10010010,10010010,True,01000010,False
24,783a1317,specialized,v3f_only,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,00111110,00111110,True,11111100,False
25,bf98d26a,specialized,v3f_only,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,00101110,00101110,True,00010110,False
26,1e677e2c,specialized,v3f_only,supported_affine_xor,binary,bit_other,verified_trace_ready,binary_affine_xor,10001101,10001101,True,00011101,False
27,0031df9c,specialized,v3f_only,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,00110100,00110100,True,10110100,False
28,6a578940,specialized,v3f_only,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10010000,10010000,True,01001000,False
29,dff2a315,specialized,v3f_only,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10111110,10111110,True,01111110,False
30,873b8ea2,specialized,v3f_only,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,01110010,01110010,True,11110010,False
31,04183bf9,specialized,v3f_only,supported_bijection,binary,bit_permutation_inversion,verified_trace_ready,binary_bit_permutation_bijection,10010000,10010000,True,01001000,False
32,b80795b4,phase0,both_correct,binary:bit_other,binary,bit_other,manual_audit_priority,,00010000,00010000,True,00010000,True
33,14fd5550,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,50.57,50.58,True,50.58,True
34,1f07abea,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,19.24,19.24,True,19.23,True
35,1f2f6b29,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,29.33,29.34,True,29.34,True
36,1f73f1f0,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,81.65,81.66,True,81.66,True
37,25c1baab,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,19.13,19.14,True,19.14,True
38,2894ae33,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,63.33,63.28,True,63.3,True
39,2a8ccc8a,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,59.42,59.46,True,59.4,True
40,2b54c39a,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,87.71,87.7,True,87.7,True
41,2cbb9290,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,21.49,21.49,True,21.49,True
42,2d4c4625,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,45.83,45.81,True,45.8,True
43,327cb428,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,60.72,60.73,True,60.73,True
44,34ffc4b7,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,21.94,21.92,True,21.93,True
45,38c65edb,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,32.61,32.64,True,32.64,True
46,4bef9829,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,62.56,62.55,True,62.55,True
47,5e6ee1d9,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,81.93,81.93,True,81.95,True
48,68450646,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,15.15,15.15,True,15.15,True
49,6f3ba33d,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,29.29,29.28,True,29.28,True
50,7a895e9c,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,23.62,23.62,True,23.62,True
51,88c170e5,phase0,both_correct,gravity:gravity_half_g_t2,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,45.77,45.76,True,45.76,True
