template_subtype,symbol_problem_category,selection_tier,symbol_strict_audit_scope,symbol_strict_status,symbol_strict_gap_reason,rows
glyph_len5,cryptarithm_deduce,answer_only_keep,glyph_structure,answer_only_keep:unseen_query_operator,glyph_query_operator_unseen_and_no_trace_safe_rule,306
glyph_len5,cryptarithm_deduce,answer_only_keep,glyph_structure,answer_only_keep:latent_rule_nonunique,grouped_model_keeps_answer_but_not_unique_trace,275
numeric_2x2,equation_numeric_deduce,answer_only_keep,same_operator_only,answer_only_keep:needs_cross_row_evidence,same_operator_examples_exist_but_no_exact_row_local_rule,275
glyph_len5,cryptarithm_guess,answer_only_keep,glyph_structure,answer_only_keep:unseen_query_operator,glyph_query_operator_unseen_and_no_trace_safe_rule,164
numeric_2x2,equation_numeric_deduce,answer_only_keep,same_operator_only,answer_only_keep:support_below_verified_threshold,same_operator_rule_is_unique_but_support_below_verified_threshold,114
numeric_2x2,equation_numeric_deduce,verified_trace_ready,verified_selection,verified_trace_ready:verified_prompt,,110
numeric_2x2,equation_numeric_guess,answer_only_keep,all_examples_global,answer_only_keep:unseen_query_operator,query_operator_unseen_no_exact_prompt_rule,108
glyph_len5,cryptarithm_deduce,answer_only_keep,glyph_structure,answer_only_keep:latent_rule_nonunique,no_examples_only_glyph_multiset_mapping,76
numeric_2x2,equation_numeric_deduce,answer_only_keep,same_operator_only,answer_only_keep:prompt_ambiguous,multiple_same_operator_rules_survive,47
numeric_2x2,equation_numeric_guess,answer_only_keep,all_examples_global,answer_only_keep:prompt_exact_conflict,all_examples_exact_rule_disagrees_with_gold,27
numeric_2x2,equation_numeric_deduce,answer_only_keep,same_operator_only,answer_only_keep:prompt_exact_conflict,same_operator_exact_rule_disagrees_with_gold,15
numeric_2x2,equation_numeric_deduce,manual_audit_priority,same_operator_only,manual_audit_priority:needs_cross_row_evidence,same_operator_examples_exist_but_no_exact_row_local_rule,14
numeric_2x2,equation_numeric_deduce,exclude_suspect,same_operator_only,exclude_suspect:prompt_exact_conflict,same_operator_exact_rule_disagrees_with_gold,9
numeric_2x2,equation_numeric_deduce,manual_audit_priority,same_operator_only,manual_audit_priority:prompt_ambiguous,multiple_same_operator_rules_survive,8
numeric_2x2,equation_numeric_deduce,manual_audit_priority,same_operator_only,manual_audit_priority:prompt_exact_conflict,same_operator_exact_rule_disagrees_with_gold,4
glyph_len5,cryptarithm_deduce,answer_only_keep,glyph_structure,answer_only_keep:latent_rule_nonunique,glyph_output_order_not_acyclic,1
glyph_len5,cryptarithm_deduce,answer_only_keep,glyph_structure,answer_only_keep:latent_rule_nonunique,glyph_prompt_structure_not_uniquely_identified,1
numeric_2x2,equation_numeric_guess,answer_only_keep,all_examples_global,answer_only_keep:prompt_ambiguous,multiple_global_exact_rules_survive,1
