id,previous_selection_tier,query_raw,answer,library_name,formula_name,predicted_answer,decision_note
88fff090,answer_only_keep,10011110,01101000,not_structured,"and(nibble_swap,rol2)",01101000,manual_prompt_exact_verified
e34cc6dd,answer_only_keep,01101001,00000001,not_structured,"and(rol2,rol3)",00000001,manual_prompt_exact_verified
45378f59,answer_only_keep,10110000,11000010,not_structured,"choose(nibble_swap,rol2,shl2)",11000010,manual_prompt_exact_verified
57256dec,answer_only_keep,01110011,01010011,not_structured,"choose(nibble_swap,rol3,not(shl3))",01010011,manual_prompt_exact_verified
47720c17,answer_only_keep,00011011,10001110,not_structured,"choose(nibble_swap,ror2,not(shl6))",10001110,manual_prompt_exact_verified
c4a6d52b,answer_only_keep,00010010,01000010,not_structured,"choose(nibble_swap,shr3,ror3)",01000010,manual_prompt_exact_verified
22e28f23,answer_only_keep,01010111,01010101,not_structured,"choose(not(rol1),nibble_swap,shr4)",01010101,manual_prompt_exact_verified
b06650c1,answer_only_keep,10000010,11101110,not_structured,"choose(not(rol1),not(shl3),rol3)",11101110,manual_prompt_exact_verified
05ca617c,answer_only_keep,10010010,11011011,not_structured,"choose(not(rol1),not(shl7),ror1)",11011011,manual_prompt_exact_verified
adeac6af,answer_only_keep,10100101,10010110,not_structured,"choose(not(rol1),rol2,shr6)",10010110,manual_prompt_exact_verified
c628dd06,answer_only_keep,01101011,10010110,not_structured,"choose(not(rol1),shr4,nibble_swap)",10010110,manual_prompt_exact_verified
91c9c95f,answer_only_keep,10101100,00010010,not_structured,"choose(not(rol1),shr6,rol2)",00010010,manual_prompt_exact_verified
abda193b,answer_only_keep,01111100,11001111,not_structured,"choose(not(rol2),not(shl4),nibble_swap)",11001111,manual_prompt_exact_verified
2630aaf8,answer_only_keep,11111010,10111110,not_structured,"choose(not(rol2),not(shl6),ror2)",10111110,manual_prompt_exact_verified
e6d3a97b,answer_only_keep,01111011,11010010,not_structured,"choose(not(rol3),not(shl1),rol1)",11010010,manual_prompt_exact_verified
eb252a80,answer_only_keep,10000101,01110011,not_structured,"choose(not(rol3),not(shl5),ror3)",01110011,manual_prompt_exact_verified
5b68563d,answer_only_keep,00011001,01100100,not_structured,"choose(not(rol3),shl2,rol2)",01100100,manual_prompt_exact_verified
b4549ab9,answer_only_keep,10011000,10110011,not_structured,"choose(not(ror1),not(shl5),ror3)",10110011,manual_prompt_exact_verified
3a67aa26,answer_only_keep,10111010,00101110,not_structured,"choose(not(ror1),not(shl6),ror2)",00101110,manual_prompt_exact_verified
97b03b75,answer_only_keep,11101100,11000110,not_structured,"choose(not(ror1),shl4,nibble_swap)",11000110,manual_prompt_exact_verified
93955d17,answer_only_keep,01011010,10000100,not_structured,"choose(not(ror1),shl6,ror2)",10000100,manual_prompt_exact_verified
a37158d6,answer_only_keep,01110100,00001010,not_structured,"choose(not(ror2),not(shl1),rol1)",00001010,manual_prompt_exact_verified
dd900b68,answer_only_keep,11001100,11111111,not_structured,"choose(not(ror2),not(shl2),rol2)",11111111,manual_prompt_exact_verified
