formula_name,support_rows,gold_match_rows,error_rows,safe_formula
shr2,4,4,0,True
shr3,3,3,0,True
"xor(not(shl3),not(shr7))",3,3,0,True
"xor(not(shl6),shl7)",3,2,1,False
"and(not(shl7),ror3)",2,2,0,False
"and(not(shr3),shl4)",2,2,0,False
"and(ror2,shl2)",2,2,0,False
"or(shl4,shl7)",2,2,0,False
shl2,2,2,0,False
shl4,2,2,0,False
shr4,2,2,0,False
shr6,2,2,0,False
"xor(not(shl7),not(shr4))",2,2,0,False
"xor(not(shl7),not(shr5))",2,2,0,False
"and(not(shl4),shr3)",2,1,1,False
"xor(not(ror2),not(shl7))",2,1,1,False
"and(nibble_swap,rol2)",1,1,0,False
"and(nibble_swap,shr7)",1,1,0,False
"and(not(rol2),shr7)",1,1,0,False
"and(not(rol3),shr7)",1,1,0,False
"and(not(ror3),shl7)",1,1,0,False
"and(not(shl2),ror3)",1,1,0,False
"and(not(shl3),ror1)",1,1,0,False
"and(not(shl3),ror2)",1,1,0,False
"and(not(shl3),shr1)",1,1,0,False
"and(not(shl5),rol2)",1,1,0,False
"and(not(shl6),not(shl7))",1,1,0,False
"and(rol1,shr4)",1,1,0,False
"and(rol2,shl5)",1,1,0,False
"and(rol2,shl7)",1,1,0,False
"and(rol3,shl7)",1,1,0,False
"and(ror2,shl7)",1,1,0,False
"and(ror2,shr4)",1,1,0,False
"or(nibble_swap,not(shr6))",1,1,0,False
"or(nibble_swap,shr1)",1,1,0,False
"or(not(shl6),shl7)",1,1,0,False
"or(not(shl6),x)",1,1,0,False
"or(not(shr1),shr2)",1,1,0,False
"or(not(shr1),shr6)",1,1,0,False
"or(not(shr1),shr7)",1,1,0,False
"or(not(shr4),shr7)",1,1,0,False
"or(not(shr6),ror2)",1,1,0,False
"or(rol2,shl7)",1,1,0,False
"or(rol3,shl1)",1,1,0,False
"or(ror2,shl7)",1,1,0,False
"or(ror2,shr1)",1,1,0,False
"or(shr6,shr7)",1,1,0,False
rol2,1,1,0,False
shr5,1,1,0,False
"xor(nibble_swap,shl7)",1,1,0,False
"xor(not(rol1),not(shl7))",1,1,0,False
"xor(not(shl4),not(shr6))",1,1,0,False
"xor(not(shl5),not(shr2))",1,1,0,False
"xor(not(shl6),not(shr3))",1,1,0,False
"xor(not(shl6),not(shr4))",1,1,0,False
"xor(not(shl6),not(shr7))",1,1,0,False
"xor(not(shl7),not(shr2))",1,1,0,False
"xor(not(shl7),not(shr3))",1,1,0,False
"and(const_not_00000100,rol2)",1,0,1,False
"and(nibble_swap,shl7)",1,0,1,False
"and(not(shl3),shr4)",1,0,1,False
"and(not(shl7),rol2)",1,0,1,False
"and(not(shl7),ror2)",1,0,1,False
"and(not(shl7),shl2)",1,0,1,False
"and(not(shr5),shr3)",1,0,1,False
"and(rol1,shl7)",1,0,1,False
"or(nibble_swap,not(shl6))",1,0,1,False
"or(not(ror1),shr7)",1,0,1,False
"or(not(ror3),not(shl6))",1,0,1,False
"or(not(shl6),rol2)",1,0,1,False
"or(not(shr2),ror1)",1,0,1,False
"or(not(shr6),rol3)",1,0,1,False
"or(rol1,rol3)",1,0,1,False
"or(shr3,shr7)",1,0,1,False
shl7,1,0,1,False
"xor(not(rol2),not(shl7))",1,0,1,False
