id,prompt,answer,family,subfamily,answer_type,parse_ok,parse_confidence,num_examples,query_raw,group_signature,hard_score,risk_bin,prompt_len_chars,prompt_len_words,answer_len,contains_right_brace,contains_backslash,contains_backtick,is_public_test_overlap,special_chars,query_value_float,estimated_g,estimated_ratio,roman_query_value,bit_query_binary,fit_family,query_hamming_bin,g_bin,answer_decimal_style,ratio_bin,query_bin,near_round_boundary,answer_word_count,token_len_signature,char_overlap_bin,rare_token_flag,unique_char_ratio,token_length_pattern_rare,query_charset_rarity,boxed_safe,template_main,template_main_label,template_subtype,teacher_solver_candidate,auto_solver_predicted_answer,auto_solver_match,verified_trace_ready,example_consistency_ok,selection_tier,audit_priority_score,audit_reasons,analysis_notes,family_analysis_json,suspect_label,bit_simple_family,bit_candidate_signature,bit_independent_unique,bit_bijection_unique,bit_bijection_solution_count,bit_boolean2_unique,bit_boolean3_unique,bit_boolean4_unique,bit_affine_unique,bit_byte_transform_unique,bit_no_candidate_positions,bit_multi_candidate_positions,bit_byte_transform_names,bit_hybrid_consensus_ready,bit_hybrid_consensus_varset,bit_hybrid_consensus_match_count,bit_hybrid_consensus_prediction_count,bit_structured_formula_name,bit_structured_formula_prediction,bit_structured_formula_names,bit_structured_formula_predictions,bit_structured_formula_matches_gold,bit_structured_formula_match_count,bit_structured_formula_prediction_count,bit_structured_formula_safe_support,bit_structured_formula_safe,bit_not_structured_formula_name,bit_not_structured_formula_prediction,bit_not_structured_formula_names,bit_not_structured_formula_predictions,bit_not_structured_formula_matches_gold,bit_not_structured_formula_match_count,bit_not_structured_formula_prediction_count,bit_not_structured_formula_safe_support,bit_not_structured_formula_safe,text_wordmap_predicted_answer,text_unknown_char_count,text_unknown_chars,text_answer_completion_new_pair_count,text_answer_completion_pairs,symbol_query_operator,symbol_same_operator_example_count,symbol_numeric_formula_name,symbol_numeric_candidate_prediction_count,glyph_multiset_possible,glyph_order_acyclic,bit_structured_formula_abstract_family,bit_structured_formula_abstract_support,bit_structured_formula_abstract_error_rows,bit_structured_formula_abstract_distinct_exact,bit_structured_formula_abstract_safe,answer_only_ready,bit_not_structured_formula_abstract_family,bit_not_structured_formula_abstract_support,bit_not_structured_formula_abstract_error_rows,bit_not_structured_formula_abstract_distinct_exact,bit_not_structured_formula_abstract_safe
96efb93a,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
16*05 = 0503
17""82 = 34""
78""48 = 3""
86""33 = 53""
Now, determine the result for: 95""57",61,symbol_equation,equation_transduction,numeric,True,0.94,4,"95""57",atypenumeric__alen2__risksafe,1.0,risk_low,195,36,2,False,False,False,False,"""'*,.:=",,,,,,,unknown,,0,unknown,,False,1,2,low,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,5.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 4, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""\"""", ""same_operator_example_count"": 3, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,"""",3,,0,False,False,,0,0,0,False,,,0,0,0,False
3b2e0cc3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
57-36 = 21
56+35 = 711
63-53 = 1
12*23 = 276
83*53 = 0331
Now, determine the result for: 57-38",8,symbol_equation,equation_transduction,numeric,True,0.94,5,57-38,atypenumeric__alen1__risksafe,3.0,risk_mid,205,39,1,False,False,False,False,"'*+,-.:=",,,,,,,unknown,,0,unknown,,False,1,1,mid,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,7.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 5, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""-"", ""same_operator_example_count"": 2, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,-,2,,0,False,False,,0,0,0,False,,,0,0,0,False
00d8b3db,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34/44 = 1
41/32 = 9
34|25 = 69
87\64 = 8853
Now, determine the result for: 69/52",17/,symbol_equation,equation_transduction,symbolic,True,0.94,4,69/52,atypesymbolic__alen3__risksafe,2.0,risk_low,191,36,3,False,True,False,False,"',./:=\|",,,,,,,unknown,,0,unknown,,False,1,3,low,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,6.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 4, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""/"", ""same_operator_example_count"": 2, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,/,2,,0,False,False,,0,0,0,False,,,0,0,0,False
58fed63a,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
68*91 = 9168
06-65 = 4
86-72 = 41
Now, determine the result for: 11-39",5,symbol_equation,equation_transduction,numeric,True,0.94,3,11-39,atypenumeric__alen1__risksafe,2.0,risk_low,181,33,1,False,False,False,False,"'*,-.:=",,,,,,,unknown,,0,unknown,,False,1,1,low,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,6.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 3, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""-"", ""same_operator_example_count"": 2, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,-,2,,0,False,False,,0,0,0,False,,,0,0,0,False
34c563c5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
28`44 = 83`
77\54 = 221
84\34 = 19
Now, determine the result for: 45`41",04`,symbol_equation,equation_transduction,symbolic,True,0.94,3,45`41,atypesymbolic__alen3__riskrisky,5.0,risk_high,182,33,3,False,True,True,False,"',.:=\`",,,,,,,unknown,,0,unknown,,False,1,3,mid,False,1.0,False,high,True,symbol_equation,symbol,numeric_2x2,,95,False,False,True,manual_audit_priority,9.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 1, ""example_count"": 3, ""format_name"": ""zpad2"", ""formula_name"": ""comp99_abs_diff_2d"", ""low_shot"": false, ""query_operator"": ""`"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,`,1,comp99_abs_diff_2d,1,False,False,,0,0,0,False,,,0,0,0,False
45076dc9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
24[57 = 2457
08}95 = 12}
58^52 = 011
Now, determine the result for: 56}17",6,symbol_equation,equation_transduction,numeric,True,0.94,3,56}17,atypenumeric__alen1__risksafe,5.0,risk_high,184,33,1,True,False,False,False,"',.:=[^}",,,,,,,unknown,,0,unknown,,False,1,1,mid,False,1.0,False,high,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,9.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 3, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""}"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,},1,,0,False,False,,0,0,0,False,,,0,0,0,False
07cbed38,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
45^08 = 0234
37}95 = 131
99^88 = 2178
Now, determine the result for: 52}51",93,symbol_equation,equation_transduction,numeric,True,0.94,3,52}51,atypenumeric__alen2__risksafe,4.0,risk_mid,185,33,2,True,False,False,False,"',.:=^}",,,,,,,unknown,,0,unknown,,False,1,2,low,False,1.0,False,high,True,symbol_equation,symbol,numeric_2x2,,102,False,False,True,manual_audit_priority,8.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 1, ""example_count"": 3, ""format_name"": ""plain"", ""formula_name"": ""x_plus_y_minus1"", ""low_shot"": false, ""query_operator"": ""}"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,},1,x_plus_y_minus1,1,False,False,,0,0,0,False,,,0,0,0,False
64fe405e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
69<51 = 18
56\81 = 4535
44%71 = 115
58\29 = 1681
Now, determine the result for: 32<33",1,symbol_equation,equation_transduction,numeric,True,0.94,4,32<33,atypenumeric__alen1__risksafe,3.0,risk_mid,196,36,1,False,True,False,False,"%',.:<=\",,,,,,,unknown,,0,unknown,,False,1,1,low,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,8.0,symbol_numeric_formula_unverified|symbol_numeric_formula_ambiguous,symbol_audit_needed,"{""candidate_prediction_count"": 4, ""example_count"": 4, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""<"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,<,1,,4,False,False,,0,0,0,False,,,0,0,0,False
12d4a2df,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
27-99 = -72
72+71 = 7172
81*83 = 486
86*15 = 8643
Now, determine the result for: 68-08",-6,symbol_equation,equation_transduction,numeric,True,0.94,4,68-08,atypenumeric__alen2__risksafe,2.0,risk_low,197,36,2,False,False,False,False,"'*+,-.:=",,,,,,,unknown,,0,unknown,,False,1,2,high,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,7.0,symbol_numeric_formula_unverified|symbol_numeric_formula_ambiguous,symbol_audit_needed,"{""candidate_prediction_count"": 2, ""example_count"": 4, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""-"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,-,1,,2,False,False,,0,0,0,False,,,0,0,0,False
1b6366af,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
14/75 = 7332
25/82 = 6541
96<62 = 59
37!64 = 72!
62/37 = 8981
Now, determine the result for: 65!68",03!,symbol_equation,equation_transduction,symbolic,True,0.94,5,65!68,atypesymbolic__alen3__risksafe,2.0,risk_low,209,39,3,False,False,False,False,"!',./:<=",,,,,,,unknown,,0,unknown,,False,1,3,low,False,1.0,False,low,True,symbol_equation,symbol,numeric_2x2,,,False,False,True,manual_audit_priority,6.5,symbol_numeric_formula_unverified,symbol_audit_needed,"{""candidate_prediction_count"": 0, ""example_count"": 5, ""format_name"": """", ""formula_name"": """", ""low_shot"": false, ""query_operator"": ""!"", ""same_operator_example_count"": 1, ""subtype"": ""numeric_2x2""}",False,,,False,False,0,False,False,False,False,False,0,0,,False,,0,0,,,,,False,0,0,0,False,,,,,False,0,0,0,False,,0,,0,,!,1,,0,False,False,,0,0,0,False,,,0,0,0,False
