symbol_trace_teacher_tier,symbol_trace_policy,symbol_trace_gold_role,symbol_trace_contract,symbol_problem_category,rows
synthetic_trace_hypothesis,answer_conditioned_latent_hypothesis,candidate_selection_required,answer_conditioned,cryptarithm_deduce,353
synthetic_trace_hypothesis,answer_conditioned_operator_semantics,candidate_selection_required,answer_conditioned,cryptarithm_deduce,306
synthetic_trace_hypothesis,answer_conditioned_family_choice,candidate_selection_required,answer_conditioned,equation_numeric_deduce,275
synthetic_trace_hypothesis,answer_conditioned_operator_semantics,candidate_selection_required,answer_conditioned,cryptarithm_guess,164
synthetic_trace_hypothesis,unique_rule_below_verified_support,final_check_only,non_prompt_evidence_needed,equation_numeric_deduce,114
prompt_verified_trace,strict_prompt_safe,final_check_only,prompt_only,equation_numeric_deduce,110
synthetic_trace_hypothesis,answer_conditioned_operator_semantics,candidate_selection_required,answer_conditioned,equation_numeric_guess,108
synthetic_trace_hypothesis,answer_conditioned_rule_choice,candidate_selection_required,answer_conditioned,equation_numeric_deduce,47
no_trace_teacher,not_answer_only,not_applicable,none,equation_numeric_deduce,35
no_trace_teacher,prompt_conflict_requires_external_semantics,insufficient_even_with_gold,none,equation_numeric_guess,27
no_trace_teacher,prompt_conflict_requires_external_semantics,insufficient_even_with_gold,none,equation_numeric_deduce,15
synthetic_trace_hypothesis,answer_conditioned_rule_choice,candidate_selection_required,answer_conditioned,equation_numeric_guess,1
