candidate_id,parent_candidate_id,candidate_kind,manifest_path,adapter_path,runtime_lane,stage,recipe_type,pair_kind,train_pack_path,overall_acc,hard_shadow_acc,format_fail_rate,extraction_fail_rate,submit_value,cuda_repro_pass,packaging_pass,selected_for_submit,status,failure_reason,notes,recorded_at
v3_stage_a_baseline,,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v3/outputs/train/pilot_stage_a_run1/sft_a_sft_stage_a_weighted_mlx_manifest.json,versions/v3/outputs/train/pilot_stage_a_run1/adapter_a_sft_stage_a_weighted_mlx,mac_mlx,a,sft_stage_a_weighted_mlx,,versions/v3/data/train_packs/stage_a_strong_v3.parquet,0.4375,0.4375,0.546875,0.0,False,False,False,False,scored,,,2026-03-23T17:52:44+00:00
v4_format_specialist_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/format_specialist_run1/v4_format_specialist_run1_manifest.json,versions/v4/outputs/train/format_specialist_run1/adapter_v4_format_specialist_run1,mac_mlx,,specialist_format_mlx,,versions/v4/data/train_packs/stage_c_preference_mix_v4.parquet,0.0,0.00390625,0.96875,0.0,False,False,False,False,scored,,,2026-03-24T05:52:32+00:00
v4_rft_stage_c_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_run1/v4_rft_stage_c_run1_manifest.json,versions/v4/outputs/train/rft_stage_c_run1/adapter_v4_rft_stage_c_run1,mac_mlx,c,stage_c_rft,,versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,,,,,False,False,False,False,completed,,,2026-03-24T06:44:05+00:00
v4_merge_rft_format_run1,v4_rft_stage_c_run1,adapter,versions/v4/outputs/train/merge_run1/v4_merge_rft_format_run1_manifest.json,versions/v4/outputs/train/merge_run1/adapter_v4_merge_rft_format_run1,mac_mlx,,linear_adapter_average,,,0.00390625,0.015625,1.0,0.0234375,True,False,False,False,scored,,,2026-03-24T07:05:54+00:00
v4_rft_stage_c_cleanaccept_lowlr_run3,v3_stage_a_baseline,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/rft_stage_c_cleanaccept_lowlr_run3/v4_rft_stage_c_cleanaccept_lowlr_run3_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_lowlr_run3/adapter_v4_rft_stage_c_cleanaccept_lowlr_run3,mac_mlx,,rft_stage_c_mlx_lowlr,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.5234375,0.5703125,0.984375,0.0,True,False,False,False,scored,,,2026-03-24T10:54:35+00:00
v5_format_sft_anchor_run1,v3_stage_a_baseline,adapter,versions/v4/outputs/train/format_sft_anchor_run1/v5_format_sft_anchor_run1_manifest.json,versions/v4/outputs/train/format_sft_anchor_run1/adapter_v5_format_sft_anchor_run1,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.4921875,,0.984375,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T16:28:07+00:00
v4_rft_stage_c_cleanaccept_run2,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_run2/v4_rft_stage_c_cleanaccept_run2_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_run2/adapter_v4_rft_stage_c_cleanaccept_run2,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.0078125,,1.0,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T09:06:43+00:00
v4_rft_stage_c_cleanaccept_halfepoch_run5,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_halfepoch_run5/v4_rft_stage_c_cleanaccept_halfepoch_run5_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_halfepoch_run5/adapter_v4_rft_stage_c_cleanaccept_halfepoch_run5,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.5078125,,0.984375,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T11:49:21+00:00
v4_rft_stage_c_cleanaccept_answerbias_run6,v3_stage_a_baseline,adapter,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_run6/v4_rft_stage_c_cleanaccept_answerbias_run6_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_answerbias_run6/adapter_v4_rft_stage_c_cleanaccept_answerbias_run6,mac_mlx,,rft_stage_c_mlx_answerbias,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.53515625,0.51953125,0.9375,0.0,True,False,False,False,scored,,,2026-03-24T14:11:47+00:00
v4_rft_stage_c_cleanaccept_ultralowlr_run4,v3_stage_a_baseline,adapter,versions/v4/outputs/train/rft_stage_c_cleanaccept_ultralowlr_run4/v4_rft_stage_c_cleanaccept_ultralowlr_run4_manifest.json,versions/v4/outputs/train/rft_stage_c_cleanaccept_ultralowlr_run4/adapter_v4_rft_stage_c_cleanaccept_ultralowlr_run4,mac_mlx,c,stage_c_rft,,/Users/mac-studio/work/NVIDIA Nemotron Model Reasoning Challenge/versions/v4/data/train_packs/stage_c_rft_mix_v4.parquet,0.515625,,0.9609375,0.0,False,False,False,False,scored,,quick_shadow_128 only,2026-03-24T15:47:46+00:00
