merge_id,generalist_candidate_id,specialist_candidate_id,merge_weights,manifest_path,adapter_path,compression_method,rank_after_compression,quick_score,serious_score,status,notes,recorded_at
v4_merge_rft_format_run1,v4_rft_stage_c_run1,v4_format_specialist_run1,"{""generalist"": 0.75, ""specialist"": 0.25}",versions/v4/outputs/train/merge_run1/v4_merge_rft_format_run1_manifest.json,versions/v4/outputs/train/merge_run1/adapter_v4_merge_rft_format_run1,not_yet_compressed,32,,,merged,,2026-03-24T05:53:58+00:00
v5_merge_run3_run6_85_15,v4_rft_stage_c_cleanaccept_lowlr_run3,v4_rft_stage_c_cleanaccept_answerbias_run6,"{""generalist"": 0.85, ""specialist"": 0.15}",versions/v4/outputs/train/merge_run3_run6_85_15/v5_merge_run3_run6_85_15_manifest.json,versions/v4/outputs/train/merge_run3_run6_85_15/adapter_v5_merge_run3_run6_85_15,not_yet_compressed,32,,,merged,,2026-03-24T16:34:51+00:00
v5_merge_run3_run6_75_25,v4_rft_stage_c_cleanaccept_lowlr_run3,v4_rft_stage_c_cleanaccept_answerbias_run6,"{""generalist"": 0.75, ""specialist"": 0.25}",versions/v4/outputs/train/merge_run3_run6_75_25/v5_merge_run3_run6_75_25_manifest.json,versions/v4/outputs/train/merge_run3_run6_75_25/adapter_v5_merge_run3_run6_75_25,not_yet_compressed,32,,,merged,,2026-03-24T16:34:53+00:00
v5_merge_run3_run6_80_20,v4_rft_stage_c_cleanaccept_lowlr_run3,v4_rft_stage_c_cleanaccept_answerbias_run6,"{""generalist"": 0.8, ""specialist"": 0.2}",versions/v4/outputs/train/merge_run3_run6_80_20/v5_merge_run3_run6_80_20_manifest.json,versions/v4/outputs/train/merge_run3_run6_80_20/adapter_v5_merge_run3_run6_80_20,not_yet_compressed,32,0.5390625,0.5859375,scored,shadow_256=0.5390625; hard_shadow_256=0.5859375,2026-03-24T23:58:31+00:00
v5_merge_run3_run6_82_18,v4_rft_stage_c_cleanaccept_lowlr_run3,v4_rft_stage_c_cleanaccept_answerbias_run6,"{""generalist"": 0.82, ""specialist"": 0.18}",versions/v4/outputs/train/merge_run3_run6_82_18/v5_merge_run3_run6_82_18_manifest.json,versions/v4/outputs/train/merge_run3_run6_82_18/adapter_v5_merge_run3_run6_82_18,not_yet_compressed,32,0.4921875,,scored,quick-only; not promoted,2026-03-25T00:40:47+00:00
v5_merge_run3_run6_80_20_bf16,v4_rft_stage_c_cleanaccept_lowlr_run3_bf16,v4_rft_stage_c_cleanaccept_answerbias_run6_bf16,"{""generalist"": 0.8, ""specialist"": 0.2}",versions/v4/outputs/train/merge_run3_run6_80_20_bf16/v5_merge_run3_run6_80_20_bf16_manifest.json,versions/v4/outputs/train/merge_run3_run6_80_20_bf16/adapter_v5_merge_run3_run6_80_20_bf16,not_yet_compressed,32,,,merged,,2026-03-25T13:34:19+00:00
v5_merge_fullsft_officialultra_shortultra_85_15_bf16,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1,"{""generalist"": 0.85, ""specialist"":  0.15}",versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_85_15/v5_merge_fullsft_officialultra_shortultra_85_15_bf16_manifest.json,versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_85_15/adapter_v5_merge_fullsft_officialultra_shortultra_85_15_bf16,not_yet_compressed,32,,,merged,,2026-03-27T05:22:39+00:00
v5_merge_fullsft_officialultra_shortultra_80_20_bf16,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_run1,"{""generalist"": 0.8, ""specialist"": 0.2}",versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_80_20/v5_merge_fullsft_officialultra_shortultra_80_20_bf16_manifest.json,versions/v4/outputs/train/merge_fullsft_officialultra_shortultra_80_20/adapter_v5_merge_fullsft_officialultra_shortultra_80_20_bf16,not_yet_compressed,32,,,merged,,2026-03-27T05:22:39+00:00
v5_merge_officiallowlr_officialultra_95_05_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,"{""generalist"": 0.95, ""specialist"": 0.05}",versions/v4/outputs/train/merge_officiallowlr_officialultra_95_05/v5_merge_officiallowlr_officialultra_95_05_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_95_05/adapter_v5_merge_officiallowlr_officialultra_95_05_bf16,not_yet_compressed,32,,,merged,,2026-03-27T09:11:38+00:00
v5_merge_officiallowlr_officialultra_90_10_bf16,v4_baseline_notebook_sft_bf16_full_text_lowlr_clip_official_run1,v4_baseline_notebook_sft_bf16_full_text_ultralowlr_clip_official_run1,"{""generalist"": 0.9, ""specialist"": 0.1}",versions/v4/outputs/train/merge_officiallowlr_officialultra_90_10/v5_merge_officiallowlr_officialultra_90_10_bf16_manifest.json,versions/v4/outputs/train/merge_officiallowlr_officialultra_90_10/adapter_v5_merge_officiallowlr_officialultra_90_10_bf16,not_yet_compressed,32,,,merged,,2026-03-27T09:11:42+00:00
