id,selection_tier,answer,query_raw,safe_prediction,safe_prediction_count,safe_formula_count,safe_support_max,safe_formulas,all_predictions
e2f184b4,answer_only_keep,00000001,00001111,00000001,1,1,3,shr3,00000001
e651c3ee,answer_only_keep,01101001,10101101,01101001,1,1,3,"xor(not(shl3),not(shr7))",01101001
2b3e06c9,manual_audit_priority,00111111,11111100,00111111,1,1,4,shr2,00111111
3456da40,manual_audit_priority,00001111,00111101,00001111,1,1,4,shr2,00001111
abb5d597,manual_audit_priority,00111000,11100011,00111000,1,1,4,shr2,00111000
b62f2e75,manual_audit_priority,00111111,11111101,00111111,1,1,4,shr2,00111111
14917af8,manual_audit_priority,00010100,10100001,00010100,1,1,3,shr3,00000100|00010100|00010101
7987a44b,manual_audit_priority,00010001,11000010,00010001,1,1,3,"xor(not(shl3),not(shr7))",00010001
8f52b3de,manual_audit_priority,10010001,11110010,10010001,1,1,3,"xor(not(shl3),not(shr7))",10010001
a2eb7c6f,manual_audit_priority,00001101,01101101,00001101,1,1,3,shr3,00001100|00001101
