id,selection_tier,query_operator,same_operator_example_count,answer,query_raw,safe_prediction,safe_prediction_count,safe_spec_count,safe_support_max,safe_specs,all_predictions
2cc274cb,answer_only_keep,+,1,6821,21+68,6821,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,6821
4df01584,answer_only_keep,+,1,1935,35+19,1935,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,1935
69aa57b3,answer_only_keep,+,1,4472,72+44,4472,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,4472
743a293d,answer_only_keep,+,1,2432,32+24,2432,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,2432
76d2ee64,answer_only_keep,+,1,9402,02+94,9402,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,9402
84af5d7e,answer_only_keep,+,1,6155,55+61,6155,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,5516|6155
88b43464,answer_only_keep,+,1,5311,11+53,5311,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,5311
90d57388,answer_only_keep,+,1,2615,15+26,2615,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,2615
ab7809d1,answer_only_keep,+,1,2572,72+25,2572,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,2572
cd9d50e2,answer_only_keep,+,1,5293,93+52,5293,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,5293
e70d5739,answer_only_keep,+,1,6257,57+62,6257,1,1,20,+::concat_xy__rev_in1_rev_out1::string_template,6257
13892a7c,answer_only_keep,-,1,-85,61-47,-85,1,1,13,-::abs_diff_2d_op_suffix__rev_in1_rev_out1::string_template,-01|-85
2e37e963,answer_only_keep,-,1,-15,71-86,-15,1,1,13,-::abs_diff_2d_op_suffix__rev_in1_rev_out1::string_template,-0|-00|-15
3831c67a,answer_only_keep,*,1,5146,46*51,5146,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,5146
3ee36e0a,answer_only_keep,-,1,-51,48-99,-51,1,1,13,-::abs_diff_2d_op_suffix__rev_in1_rev_out1::string_template,-51|-84
4aeed935,answer_only_keep,*,1,1455,55*14,1455,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,1455
50f8e2c0,answer_only_keep,-,1,-22,31-53,-22,1,1,13,-::abs_diff_2d_op_suffix__rev_in1_rev_out1::string_template,-22
6f1211e2,answer_only_keep,*,1,6745,45*67,6745,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,6745
8021718e,answer_only_keep,*,1,6479,79*64,6479,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,6479
a8e5eca1,answer_only_keep,*,1,4274,74*42,4274,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,4274
aa8c76a1,answer_only_keep,*,1,0861,61*08,0861,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,0861
f28681ad,answer_only_keep,*,1,4314,14*43,4314,1,1,13,*::concat_xy__rev_in1_rev_out1::string_template,4314
43837c5b,answer_only_keep,*,1,4572,45*72,4572,1,1,4,*::concat_yx__rev_in1_rev_out1::string_template,4572
ee9239e9,answer_only_keep,*,1,2629,26*29,2629,1,1,4,*::concat_yx__rev_in1_rev_out1::string_template,2629
35a89469,answer_only_keep,[,1,9525,95[25,9525,1,1,3,[::concat_yx__rev_in1_rev_out1::string_template,9525
6dda26c0,answer_only_keep,[,1,4643,46[43,4643,1,1,3,[::concat_yx__rev_in1_rev_out1::string_template,4643
8d2546a5,answer_only_keep,-,1,1211,12-11,1211,1,1,3,-::concat_yx__rev_in1_rev_out1::string_template,1211
047c4111,answer_only_keep,$,1,2596,25$96,2596,1,1,2,$::concat_yx__rev_in1_rev_out1::string_template,2596
