benchmark_name,benchmark_role,benchmark_index,id,prompt,answer,family,family_short,template_subtype,selection_tier,teacher_solver_candidate,answer_type,num_examples,prompt_len_chars,hard_score,group_signature,query_raw,v1_focus_bucket,v1_exposure_band,v1_bucket_note,bit_structured_formula_name,bit_structured_formula_abstract_family,bit_not_structured_formula_name,bit_structured_formula_safe_support,bit_structured_formula_abstract_support,bit_not_structured_formula_safe_support,bit_no_candidate_positions,bit_multi_candidate_positions,query_hamming_bin,audit_priority_score,_source_name,_source_split,proxy_role,leaderboard_proxy_bucket,leaderboard_proxy_note,v3f_prediction,current_prediction,v3f_is_correct,current_is_correct
leaderboard_proxy_v1_set,leaderboard_proxy,1,52c62a3e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
48\75 = 72\
56\24 = 32\
62*43 = 4362
02*71 = 7102
77*33 = 3377
Now, determine the result for: 92*12",1292,symbol_equation,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,numeric,5,210,4.0,atypenumeric__alen4__risksafe,92*12,,,,,,,,,,,,,,phase0_combined_eval_set,phase0,v3f_only,symbol:numeric_2x2,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,1292,72,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,2,9cb03277,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
46*79 = 9026
74*92 = 4631
55`84 = 301
57!58 = 01
01*42 = 142
Now, determine the result for: 52!78",26,symbol_equation,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,numeric,5,208,2.0,atypenumeric__alen2__risksafe,52!78,,,,,,,,,,,,,,phase0_combined_eval_set,phase0,v3f_only,symbol:numeric_2x2,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,26,9090,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,3,8158a14c,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
62)75 = )13
35(11 = 1135
38(64 = 6438
Now, determine the result for: 49)03",46,symbol_equation,symbol,numeric_2x2,answer_only_keep,,numeric,3,185,1.0,atypenumeric__alen2__risksafe,49)03,,,,,,,,,,,,,,phase0_combined_eval_set,phase0,v3f_only,symbol:numeric_2x2,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,46,)-46,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,4,94643472,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
gphn dupvxk rpuuqu -> king writes mirror
bcv wpkbqixuk kxbuxv -> cat discovers secret
kvjwxhv wpkbqixuk gxa -> student discovers key
lpuw buxcvxk vyuqjny rqjhvcph -> bird creates through mountain
Now, decrypt the following text: ghpnyv byckxk rxkkcnx",knight chases message,text_decryption,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,text_phrase,4,339,0.0,wc3__lensig6-6-7__charpatmid,ghpnyv byckxk rxkkcnx,,,,,,,,,,,,,,phase0_combined_eval_set,phase0,v3f_only,text:text_monoalphabetic,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,knight chases message,knight chess message,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,5,ccd5baec,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wjisde tzieyv byfuja uoyqj -> knight writes beyond ocean
edy mfveyziugv mugvy tqeodyv -> the mysterious mouse watches
qlioy vegaiyv edy vilcyz mizzuz -> alice studies the silver mirror
Now, decrypt the following text: edy olycyz dqeeyz odqvyv",the clever hatter chases,text_decryption,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,text_phrase,3,331,0.0,wc4__lensig3-6-6-6__charpatmid,edy olycyz dqeeyz odqvyv,,,,,,,,,,,,,,phase0_combined_eval_set,phase0,v3f_only,text:text_monoalphabetic,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,the clever hatter chases,the silver hatter potion,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,6,6a333ed6,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01000000 -> 00000000
01001100 -> 10001000
10001101 -> 00010000
11000111 -> 10001000
10000100 -> 00000000
01010100 -> 10001000
10101010 -> 01010100
00111111 -> 01100110
01000011 -> 00000000
11100010 -> 01000100

Now, determine the output for: 11001001",00010000,bit_manipulation,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,binary8,10,510,6.0,unknown__ex10__qhwmid,11001001,boolean_family,supported,binary two/three-bit boolean 系で、teacher 文体転写の限界を見やすい slice。,"and(ror3,shl1)","and(ror,shl)","and(ror3,shl1)",3,12,3,6,0,-1,9.5,binary_bias_specialized_set,specialized,v3f_only,boolean_family,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00010000,00001000,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,7,c30a782a,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00101001 -> 00100101
00101111 -> 00000101
01000010 -> 01001000
10010011 -> 01000010
00111000 -> 00000111
00001011 -> 01000001
11110110 -> 10011110
01011011 -> 01001011
10111001 -> 00100111
01100011 -> 01001100

Now, determine the output for: 00110011",01000110,bit_manipulation,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,binary8,10,510,6.0,unknown__ex10__qhwmid,00110011,boolean_family,supported,binary two/three-bit boolean 系で、teacher 文体転写の限界を見やすい slice。,"choose(shl4,shr4,ror3)","choose(shl,shr,ror)","and(not(shl4),ror3)",1,42,1,4,0,-1,9.5,binary_bias_specialized_set,specialized,v3f_only,boolean_family,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,01000110,00000110,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,8,af5302ca,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11111000 -> 01111111
00010100 -> 00001010
01001000 -> 00101101
11101001 -> 11111101
00100010 -> 00010101
00111011 -> 10011111
11011010 -> 01111111
01110110 -> 00111111
10011101 -> 11011111

Now, determine the output for: 00111010",00011111,bit_manipulation,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,binary8,9,489,5.0,unknown__ex9__qhwmid,00111010,boolean_family,supported,binary two/three-bit boolean 系で、teacher 文体転写の限界を見やすい slice。,"or(ror1,shr3)","or(ror,shr)","or(ror1,shr3)",3,26,3,4,0,-1,8.5,binary_bias_specialized_set,specialized,v3f_only,boolean_family,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,00011111,00111111,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,9,94c25c56,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01001000 -> 11111111
01010010 -> 11111111
10101110 -> 11111110
11100101 -> 11111111
01000011 -> 11111111
10101101 -> 11111110
10010100 -> 11111110
10111000 -> 11111110

Now, determine the output for: 11011100",11111111,bit_manipulation,binary,bit_other,verified_trace_ready,binary_two_bit_boolean,binary8,8,468,3.0,unknown__ex8__qhwmid,11011100,boolean_family,supported,binary two/three-bit boolean 系で、teacher 文体転写の限界を見やすい slice。,,,"or(not(shr7),rol2)",0,0,1,7,0,-1,6.0,binary_bias_specialized_set,specialized,v3f_only,boolean_family,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,11111111,11111110,True,False
leaderboard_proxy_v1_set,leaderboard_proxy,10,1deaf759,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00111111 -> 01111001
01111010 -> 11010011
11011110 -> 11110110
10010110 -> 10110100
00000111 -> 00111000
10100110 -> 00110101
11001111 -> 01111110
11010110 -> 10110110
11111001 -> 01001111
11111111 -> 01111111

Now, determine the output for: 11110100",10100111,bit_manipulation,binary,bit_other,answer_only_keep,,binary8,10,510,6.0,unknown__ex10__qhwmid,11110100,dominant_structured_abstract,dominant,v1で厚い structured-byte abstract family 寄り slice。,"choose(shl7,shr1,rol3)","choose(shl,shr,rol)","and(not(shl7),rol3)",2,59,1,1,0,-1,0.0,binary_bias_specialized_set,specialized,v3f_only,dominant_structured_abstract,Rows where v3f is correct and current is wrong; concentrates suspected hidden-regression slices.,10100111,01001111,True,False
